arquivo_original,data,num_atual,num_esperado,motivo
NJUD_1811_02-02-2026.mp3,02-02-2026,1811,1809,destino já existe
NJUD_1819_05-02-2026.mp3,05-02-2026,1819,1812,destino já existe
NJUD_1924_26-08-2026.mp3,26-08-2026,1924,1943,destino já existe
NJUD_1925_26-08-2026.mp3,26-08-2026,1925,1943,destino já existe
NJUD_1793_07-01-2026.mp3,07-01-2026,1793,,sem entrada no CSV
NJUD_1794_01-01-2026.mp3,01-01-2026,1794,,sem entrada no CSV
NJUD_1797_02-01-2026.mp3,02-01-2026,1797,,sem entrada no CSV
NJUD_1804_05-01-2026.mp3,05-01-2026,1804,,sem entrada no CSV
NJUD_1812_06-01-2026.mp3,06-01-2026,1812,,sem entrada no CSV
NJUD_1820_16-02-2026.mp3,16-02-2026,1820,,sem entrada no CSV
NJUD_1823_17-02-2026.mp3,17-02-2026,1823,,sem entrada no CSV
NJUD_1825_18-02-2026.mp3,18-02-2026,1825,,sem entrada no CSV
NJUD_1827_13-03-2026.mp3,13-03-2026,1827,,sem entrada no CSV
NJUD_1828_02-03-2026.mp3,02-03-2026,1828,,sem entrada no CSV
NJUD_1829_29-01-2026.mp3,29-01-2026,1829,,sem entrada no CSV
NJUD_1830_16-03-2026.mp3,16-03-2026,1830,,sem entrada no CSV
NJUD_1831_03-03-2026.mp3,03-03-2026,1831,,sem entrada no CSV
NJUD_1832_17-03-2026.mp3,17-03-2026,1832,,sem entrada no CSV
NJUD_1833_04-03-2026.mp3,04-03-2026,1833,,sem entrada no CSV
NJUD_1834_18-03-2026.mp3,18-03-2026,1834,,sem entrada no CSV
NJUD_1835_05-03-2026.mp3,05-03-2026,1835,,sem entrada no CSV
NJUD_1837_19-03-2026.mp3,19-03-2026,1837,,sem entrada no CSV
NJUD_1838_06-03-2026.mp3,06-03-2026,1838,,sem entrada no CSV
NJUD_1839_20-03-2026.mp3,20-03-2026,1839,,sem entrada no CSV
NJUD_1840_09-03-2026.mp3,09-03-2026,1840,,sem entrada no CSV
NJUD_1842_23-03-2026.mp3,23-03-2026,1842,,sem entrada no CSV
