arquivo_original,data,num_atual,num_projetado,motivo
NJUD_1792_08-01-2026.mp3,08-01-2026,1792,1785,renomeado
NJUD_1793_07-01-2026.mp3,07-01-2026,1793,1784,renomeado
NJUD_1793_09-01-2026.mp3,09-01-2026,1793,1786,renomeado
NJUD_1794_12-01-2026.mp3,12-01-2026,1794,1787,renomeado
NJUD_1795_13-01-2026.mp3,13-01-2026,1795,1788,renomeado
NJUD_1796_14-01-2026.mp3,14-01-2026,1796,1789,renomeado
NJUD_1797_15-01-2026.mp3,15-01-2026,1797,1790,renomeado
NJUD_1798_16-01-2026.mp3,16-01-2026,1798,1791,renomeado
NJUD_1799_19-01-2026.mp3,19-01-2026,1799,1792,renomeado
NJUD_1800_20-01-2026.mp3,20-01-2026,1800,1793,renomeado
NJUD_1801_21-01-2026.mp3,21-01-2026,1801,1794,renomeado
NJUD_1802_22-01-2026.mp3,22-01-2026,1802,1795,renomeado
NJUD_1803_23-01-2026.mp3,23-01-2026,1803,1796,renomeado
NJUD_1804_26-01-2026.mp3,26-01-2026,1804,1797,renomeado
NJUD_1805_27-01-2026.mp3,27-01-2026,1805,1798,renomeado
NJUD_1807_28-01-2026.mp3,28-01-2026,1807,1799,renomeado
NJUD_1808_30-01-2026.mp3,30-01-2026,1808,1801,renomeado
NJUD_1809_02-02-2026.mp3,02-02-2026,1809,1802,renomeado
NJUD_1810_03-02-2026.mp3,03-02-2026,1810,1803,renomeado
NJUD_1811_04-02-2026.mp3,04-02-2026,1811,1804,renomeado
NJUD_1812_05-02-2026.mp3,05-02-2026,1812,1805,renomeado
NJUD_1814_09-02-2026.mp3,09-02-2026,1814,1807,renomeado
NJUD_1815_10-02-2026.mp3,10-02-2026,1815,1808,renomeado
NJUD_1816_11-02-2026.mp3,11-02-2026,1816,1809,renomeado
NJUD_1817_12-02-2026.mp3,12-02-2026,1817,1810,renomeado
NJUD_1818_13-02-2026.mp3,13-02-2026,1818,1811,renomeado
NJUD_1819_19-02-2026.mp3,19-02-2026,1819,1813,renomeado
NJUD_1820_20-02-2026.mp3,20-02-2026,1820,1814,renomeado
NJUD_1821_23-02-2026.mp3,23-02-2026,1821,1815,renomeado
NJUD_1822_24-02-2026.mp3,24-02-2026,1822,1816,renomeado
NJUD_1823_25-02-2026.mp3,25-02-2026,1823,1817,renomeado
NJUD_1824_26-02-2026.mp3,26-02-2026,1824,1818,renomeado
NJUD_1825_18-02-2026.mp3,18-02-2026,1825,1812,renomeado
NJUD_1825_27-02-2026.mp3,27-02-2026,1825,1819,renomeado
NJUD_1827_13-03-2026.mp3,13-03-2026,1827,1829,renomeado
NJUD_1828_02-03-2026.mp3,02-03-2026,1828,1820,renomeado
NJUD_1829_29-01-2026.mp3,29-01-2026,1829,1800,renomeado
NJUD_1831_03-03-2026.mp3,03-03-2026,1831,1821,renomeado
NJUD_1832_17-03-2026.mp3,17-03-2026,1832,1831,renomeado
NJUD_1833_04-03-2026.mp3,04-03-2026,1833,1822,renomeado
NJUD_1834_18-03-2026.mp3,18-03-2026,1834,1832,renomeado
NJUD_1835_05-03-2026.mp3,05-03-2026,1835,1823,renomeado
NJUD_1837_19-03-2026.mp3,19-03-2026,1837,1833,renomeado
NJUD_1838_06-03-2026.mp3,06-03-2026,1838,1824,renomeado
NJUD_1839_20-03-2026.mp3,20-03-2026,1839,1834,renomeado
NJUD_1840_09-03-2026.mp3,09-03-2026,1840,1825,renomeado
NJUD_1842_23-03-2026.mp3,23-03-2026,1842,1835,renomeado
NJUD_1843_10-03-2026.mp3,10-03-2026,1843,1826,renomeado
NJUD_1844_24-03-2026.mp3,24-03-2026,1844,1836,renomeado
NJUD_1845_11-03-2026.mp3,11-03-2026,1845,1827,renomeado
NJUD_1847_25-03-2026.mp3,25-03-2026,1847,1837,renomeado
NJUD_1848_12-03-2026.mp3,12-03-2026,1848,1828,renomeado
NJUD_1886_06-02-2026.mp3,06-02-2026,1886,1806,renomeado
