arquivo,data,num_projetado,status
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1854\BOLETIM_RADIO_TJRN_08_04_2026_B4_TJRN_PLANO_SAUDE_CONDENADO_CIRURGIA_OCULAR__CABECA.mp3,08/04/2026,1846,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1854\BOLETIM_RADIO_TJRN_08_04_2026_B4_TJRN_PLANO_SAUDE_CONDENADO_CIRURGIA_OCULAR__CORPO.mp3,08/04/2026,1846,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1876\BOLETIM_RADIO_TJRN_08_05_2026_B9_TJRN_CURSO_INEDITO_GESTAO_RISCOS__1782542566_CABECA.mp3,08/05/2026,1866,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1876\BOLETIM_RADIO_TJRN_08_05_2026_B9_TJRN_CURSO_INEDITO_GESTAO_RISCOS__1782542566_CORPO.mp3,08/05/2026,1866,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1877\BOLETIM_RADIO_TJRN_08_05_2026_B6_VIOLENCIA_DOMESTICA_MANTIDA_PRISAO_1782542565_CABECA.mp3,08/05/2026,1866,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1877\BOLETIM_RADIO_TJRN_08_05_2026_B6_VIOLENCIA_DOMESTICA_MANTIDA_PRISAO_1782542565_CORPO.mp3,08/05/2026,1866,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1878\BOLETIM_RADIO_TJRN_08_05_2026_B10_TRTRN_REGISTRO_POSTO_SAUDE_1782542566_CABECA.mp3,08/05/2026,1866,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1878\BOLETIM_RADIO_TJRN_08_05_2026_B10_TRTRN_REGISTRO_POSTO_SAUDE_1782542566_CORPO.mp3,08/05/2026,1866,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\_trabalho\BOLETIM_RADIO_TJRN_14_04_2026_B10_INDENIZACAO_ALAGAMENTO_RESIDENCIA.mp3,14/04/2026,1850,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\_trabalho\BOLETIM_RADIO_TJRN_14_04_2026_B9_CONDENACAO_GOLPE_IDOSA.mp3,14/04/2026,1850,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B10_MPRN_FOTOTERAPIA_PAU_DOS_FERROS_CABECA.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B10_MPRN_FOTOTERAPIA_PAU_DOS_FERROS_CORPO.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B10_TRTRN_MOBILIZACAO_RODOVIARIA__CABECA.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B10_TRTRN_MOBILIZACAO_RODOVIARIA__CORPO.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B1_INDENIZACAO_FALTA_ENERGIA_MAE_NJUD_CABECA.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B1_INDENIZACAO_FALTA_ENERGIA_MAE_NJUD_CORPO.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B1_INDENIZACAO_SERVICOS_TELEFONIA_NJUD_1915_CABECA.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B1_INDENIZACAO_SERVICOS_TELEFONIA_NJUD_1915_CORPO.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B1_MUTIRAO_POP_RUA_JUD_NJUD_1929_CABECA.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B1_MUTIRAO_POP_RUA_JUD_NJUD_1929_CORPO.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B1_TJRN_MOTOCICLISTA_SERA_INDENIZADO_1923_CABECA.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B1_TJRN_MOTOCICLISTA_SERA_INDENIZADO_1923_CORPO.mp3,26/03/2026,1838,pronto_renomear
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS_JUN_JUL_AGO_2026\BOLETIM_RADIO_TJRN_26_03_2026_B2_DEVOLUCAO_SINAL_PAGO_EMPRESA_NJUD_CABECA.mp3,26/03/2026,1838,pronto_renomear
