Data_Formatada,Dia_Semana,Correto
07/01/2026,Quarta-feira,
08/01/2026,Quinta-feira,1792
09/01/2026,Sexta-feira,1793
12/01/2026,Segunda-feira,1794
13/01/2026,Terça-feira,1795
14/01/2026,Quarta-feira,1796
15/01/2026,Quinta-feira,1797
16/01/2026,Sexta-feira,1798
19/01/2026,Segunda-feira,1799
20/01/2026,Terça-feira,1800
21/01/2026,Quarta-feira,1801
22/01/2026,Quinta-feira,1802
23/01/2026,Sexta-feira,1803
26/01/2026,Segunda-feira,1804
27/01/2026,Terça-feira,1805
28/01/2026,Quarta-feira,1807
30/01/2026,Sexta-feira,1808
02/02/2026,Segunda-feira,1809
03/02/2026,Terça-feira,1810
04/02/2026,Quarta-feira,1811
05/02/2026,Quinta-feira,1812
06/02/2026,Sexta-feira,1886
09/02/2026,Segunda-feira,1814
10/02/2026,Terça-feira,1815
11/02/2026,Quarta-feira,1816
12/02/2026,Quinta-feira,1817
13/02/2026,Sexta-feira,1818
19/02/2026,Quinta-feira,1819
20/02/2026,Sexta-feira,1820
23/02/2026,Segunda-feira,1821
24/02/2026,Terça-feira,1822
25/02/2026,Quarta-feira,1823
26/02/2026,Quinta-feira,1824
27/02/2026,Sexta-feira,1825
02/03/2026,Segunda-feira,
03/03/2026,Terça-feira,
04/03/2026,Quarta-feira,
05/03/2026,Quinta-feira,
06/03/2026,Sexta-feira,
09/03/2026,Segunda-feira,
10/03/2026,Terça-feira,
11/03/2026,Quarta-feira,
12/03/2026,Quinta-feira,
13/03/2026,Sexta-feira,
16/03/2026,Segunda-feira,
17/03/2026,Terça-feira,
18/03/2026,Quarta-feira,
19/03/2026,Quinta-feira,
20/03/2026,Sexta-feira,
23/03/2026,Segunda-feira,
24/03/2026,Terça-feira,
25/03/2026,Quarta-feira,
26/03/2026,Quinta-feira,
27/03/2026,Sexta-feira,
30/03/2026,Segunda-feira,
31/03/2026,Terça-feira,
06/04/2026,Segunda-feira,
07/04/2026,Terça-feira,
08/04/2026,Quarta-feira,
09/04/2026,Quinta-feira,
10/04/2026,Sexta-feira,
13/04/2026,Segunda-feira,
14/04/2026,Terça-feira,
15/04/2026,Quarta-feira,
16/04/2026,Quinta-feira,
17/04/2026,Sexta-feira,
22/04/2026,Quarta-feira,
23/04/2026,Quinta-feira,
24/04/2026,Sexta-feira,
27/04/2026,Segunda-feira,
28/04/2026,Terça-feira,
29/04/2026,Quarta-feira,
30/04/2026,Quinta-feira,
04/05/2026,Segunda-feira,
05/05/2026,Terça-feira,
06/05/2026,Quarta-feira,
07/05/2026,Quinta-feira,
08/05/2026,Sexta-feira,1888
11/05/2026,Segunda-feira,1891
12/05/2026,Terça-feira,
13/05/2026,Quarta-feira,
14/05/2026,Quinta-feira,
15/05/2026,Sexta-feira,
18/05/2026,Segunda-feira,
19/05/2026,Terça-feira,
20/05/2026,Quarta-feira,
21/05/2026,Quinta-feira,
22/05/2026,Sexta-feira,
25/05/2026,Segunda-feira,
26/05/2026,Terça-feira,
27/05/2026,Quarta-feira,
28/05/2026,Quinta-feira,
29/05/2026,Sexta-feira,
01/06/2026,Segunda-feira,
02/06/2026,Terça-feira,
03/06/2026,Quarta-feira,
05/06/2026,Sexta-feira,
08/06/2026,Segunda-feira,
09/06/2026,Terça-feira,
10/06/2026,Quarta-feira,
11/06/2026,Quinta-feira,
12/06/2026,Sexta-feira,1892
15/06/2026,Segunda-feira,1893
16/06/2026,Terça-feira,1894
17/06/2026,Quarta-feira,1895
18/06/2026,Quinta-feira,1896
19/06/2026,Sexta-feira,1897
22/06/2026,Segunda-feira,1898
23/06/2026,Terça-feira,1899
24/06/2026,Quarta-feira,1900
25/06/2026,Quinta-feira,1901
26/06/2026,Sexta-feira,1902
30/06/2026,Terça-feira,1903
01/07/2026,Quarta-feira,
02/07/2026,Quinta-feira,1905
03/07/2026,Sexta-feira,1906
06/07/2026,Segunda-feira,1907
07/07/2026,Terça-feira,1908
08/07/2026,Quarta-feira,1909
09/07/2026,Quinta-feira,1910
10/07/2026,Sexta-feira,1911
13/07/2026,Segunda-feira,1912
14/07/2026,Terça-feira,1913
15/07/2026,Quarta-feira,1914
16/07/2026,Quinta-feira,1915
17/07/2026,Sexta-feira,1916
20/07/2026,Segunda-feira,1917
21/07/2026,Terça-feira,1918
22/07/2026,Quarta-feira,1919
23/07/2026,Quinta-feira,1920
24/07/2026,Sexta-feira,1921
27/07/2026,Segunda-feira,1922
28/07/2026,Terça-feira,1923
29/07/2026,Quarta-feira,1926
30/07/2026,Quinta-feira,
31/07/2026,Sexta-feira,
03/08/2026,Segunda-feira,1927
04/08/2026,Terça-feira,1928
05/08/2026,Quarta-feira,1929
06/08/2026,Quinta-feira,1930
07/08/2026,Sexta-feira,1931
10/08/2026,Segunda-feira,
11/08/2026,Terça-feira,1932
12/08/2026,Quarta-feira,1933
13/08/2026,Quinta-feira,1934
14/08/2026,Sexta-feira,1935
17/08/2026,Segunda-feira,1936
18/08/2026,Terça-feira,1937
19/08/2026,Quarta-feira,1938
20/08/2026,Quinta-feira,1939
21/08/2026,Sexta-feira,1940
24/08/2026,Segunda-feira,1941
25/08/2026,Terça-feira,1942
26/08/2026,Quarta-feira,1943
27/08/2026,Quinta-feira,1944
28/08/2026,Sexta-feira,1945
31/08/2026,Segunda-feira,1946
