mes,data,dia_util,nome
06/2026,04/06/2026,sim,NJUD_1904_04-06-2026.mp3
06/2026,05/06/2026,sim,NJUD_1877_05-06-2026.mp3
06/2026,19/06/2026,sim,NJUD_2104_19-06-2026.mp3
06/2026,23/06/2026,sim,NJUD_2201_23-06-2026.mp3
06/2026,24/06/2026,sim,NJUD_2202_24-06-2026.mp3
06/2026,25/06/2026,sim,NJUD_2203_25-06-2026.mp3
06/2026,26/06/2026,sim,NJUD_2605_26-06-2026.mp3
07/2026,01/07/2026,sim,NJUD_2204_01-07-2026.mp3
07/2026,02/07/2026,sim,NJUD_2205_02-07-2026.mp3
07/2026,03/07/2026,sim,NJUD_2301_03-07-2026.mp3
07/2026,06/07/2026,sim,NJUD_1902_06-07-2026.mp3
07/2026,07/07/2026,sim,NJUD_2302_07-07-2026.mp3
07/2026,08/07/2026,sim,NJUD_2302_08-07-2026.mp3
07/2026,09/07/2026,sim,NJUD_2303_09-07-2026.mp3
07/2026,10/07/2026,sim,NJUD_1905_10-07-2026.mp3
07/2026,13/07/2026,sim,NJUD_2401_13-07-2026.mp3
07/2026,14/07/2026,sim,NJUD_2401_14-07-2026.mp3
07/2026,15/07/2026,sim,NJUD_2402_15-07-2026.mp3
07/2026,16/07/2026,sim,NJUD_2403_16-07-2026.mp3
07/2026,17/07/2026,sim,NJUD_2404_17-07-2026.mp3
07/2026,20/07/2026,sim,NJUD_2405_20-07-2026.mp3
07/2026,21/07/2026,sim,NJUD_2501_21-07-2026.mp3
07/2026,22/07/2026,sim,NJUD_2502_22-07-2026.mp3
07/2026,23/07/2026,sim,NJUD_2503_23-07-2026.mp3
07/2026,24/07/2026,sim,NJUD_2504_24-07-2026.mp3
07/2026,27/07/2026,sim,NJUD_3007_27-07-2026.mp3
08/2026,26/08/2026,sim,NJUD_3503_26-08-2026.mp3
08/2026,27/08/2026,sim,NJUD_3906_27-08-2026.mp3
08/2026,27/08/2026,sim,NJUD_4401_27-08-2026.mp3
08/2026,27/08/2026,sim,NJUD_4804_27-08-2026.mp3
08/2026,27/08/2026,sim,NJUD_5206_27-08-2026.mp3
