MES,NJUD,BOLETIM
ABRIL,102,170
ABRIL,1849,5
ABRIL,1849,6
ABRIL,1849,7
ABRIL,1849,8
ABRIL,1849,9
ABRIL,1849,10
ABRIL,1850,1
ABRIL,1850,2
ABRIL,1850,3
ABRIL,1850,4
ABRIL,1850,9
ABRIL,1850,10
ABRIL,1851,3
ABRIL,1851,4
ABRIL,1851,5
ABRIL,1851,6
ABRIL,1851,7
ABRIL,1851,8
ABRIL,1852,1
ABRIL,1852,2
ABRIL,1852,7
ABRIL,1852,8
ABRIL,1852,9
ABRIL,1852,10
ABRIL,1853,1
ABRIL,1853,2
ABRIL,1853,3
ABRIL,1853,4
ABRIL,1853,5
ABRIL,1853,6
ABRIL,1854,5
ABRIL,1854,6
ABRIL,1854,7
ABRIL,1854,8
ABRIL,1854,9
ABRIL,1854,10
ABRIL,1855,1
ABRIL,1855,2
ABRIL,1855,3
ABRIL,1855,4
ABRIL,1855,9
ABRIL,1855,10
ABRIL,1856,3
ABRIL,1856,4
ABRIL,1856,5
ABRIL,1856,6
ABRIL,1856,7
ABRIL,1856,8
ABRIL,1857,1
ABRIL,1857,2
ABRIL,1857,7
ABRIL,1857,8
ABRIL,1857,9
ABRIL,1857,10
ABRIL,1858,1
ABRIL,1858,2
ABRIL,1858,3
ABRIL,1858,4
ABRIL,1858,5
ABRIL,1858,6
ABRIL,1859,5
ABRIL,1859,6
ABRIL,1859,7
ABRIL,1859,8
ABRIL,1859,9
ABRIL,1859,10
ABRIL,1860,1
ABRIL,1860,2
ABRIL,1860,3
ABRIL,1860,4
ABRIL,1860,9
ABRIL,1860,10
ABRIL,1861,3
ABRIL,1861,4
ABRIL,1861,5
ABRIL,1861,6
ABRIL,1861,7
ABRIL,1861,8
ABRIL,1862,1
ABRIL,1862,2
ABRIL,1862,7
ABRIL,1862,8
ABRIL,1862,9
ABRIL,1862,10
ABRIL,1863,1
ABRIL,1863,2
ABRIL,1863,3
ABRIL,1863,4
ABRIL,1863,5
ABRIL,1863,6
ABRIL,1864,5
ABRIL,1864,6
ABRIL,1864,7
ABRIL,1864,8
ABRIL,1864,9
ABRIL,1864,10
ABRIL,1865,1
ABRIL,1865,2
ABRIL,1865,3
ABRIL,1865,4
ABRIL,1865,9
ABRIL,1865,10
AGOSTO,49,80
AGOSTO,1918,1
AGOSTO,1918,4
AGOSTO,1918,6
AGOSTO,1918,7
AGOSTO,1918,9
AGOSTO,1918,10
AGOSTO,1923,5
AGOSTO,1923,6
AGOSTO,1923,7
AGOSTO,1923,8
AGOSTO,1923,9
AGOSTO,1923,10
AGOSTO,1924,1
AGOSTO,1924,2
