mes,data,dia_util,nome
01/2026,07/01/2026,sim,NJUD_0203_07-01-2026.mp3
01/2026,08/01/2026,sim,NJUD_0204_08-01-2026.mp3
01/2026,09/01/2026,sim,NJUD_0205_09-01-2026.mp3
01/2026,12/01/2026,sim,NJUD_0301_12-01-2026.mp3
01/2026,14/01/2026,sim,NJUD_0303_14-01-2026.mp3
01/2026,15/01/2026,sim,NJUD_0304_15-01-2026.mp3
01/2026,16/01/2026,sim,NJUD_0305_16-01-2026.mp3
01/2026,19/01/2026,sim,NJUD_0401_19-01-2026.mp3
01/2026,20/01/2026,sim,NJUD_0402_20-01-2026.mp3
01/2026,21/01/2026,sim,NJUD_0403_21-01-2026.mp3
01/2026,22/01/2026,sim,NJUD_0404_22-01-2026.mp3
01/2026,26/01/2026,sim,NJUD_0501_26-01-2026.mp3
01/2026,27/01/2026,sim,NJUD_0502_27-01-2026.mp3
01/2026,28/01/2026,sim,NJUD_0503_28-01-2026.mp3
01/2026,29/01/2026,sim,NJUD_0504_29-01-2026.mp3
02/2026,02/02/2026,sim,NJUD_0601_02-02-2026.mp3
02/2026,03/02/2026,sim,NJUD_0602_03-02-2026.mp3
02/2026,04/02/2026,sim,NJUD_0603_04-02-2026.mp3
02/2026,05/02/2026,sim,NJUD_0604_05-02-2026.mp3
02/2026,06/02/2026,sim,NJUD_0605_06-02-2026.mp3
02/2026,09/02/2026,sim,NJUD_0701_09-02-2026.mp3
02/2026,10/02/2026,sim,NJUD_0702_10-02-2026.mp3
02/2026,11/02/2026,sim,NJUD_0703_11-02-2026.mp3
02/2026,12/02/2026,sim,NJUD_0704_12-02-2026.mp3
02/2026,13/02/2026,sim,NJUD_0705_13-02-2026.mp3
02/2026,19/02/2026,sim,NJUD_0804_19-02-2026.mp3
02/2026,20/02/2026,sim,NJUD_0805_20-02-2026.mp3
02/2026,23/02/2026,sim,NJUD_0901_23-02-2026.mp3
02/2026,24/02/2026,sim,NJUD_0902_24-02-2026.mp3
02/2026,26/02/2026,sim,NJUD_0904_26-02-2026.mp3
02/2026,27/02/2026,sim,NJUD_0905_27-02-2026.mp3
03/2026,02/03/2026,sim,NJUD_1001_02-03-2026.mp3
03/2026,03/03/2026,sim,NJUD_1002_03-03-2026.mp3
03/2026,04/03/2026,sim,NJUD_1003_04-03-2026.mp3
03/2026,05/03/2026,sim,NJUD_1004_05-03-2026.mp3
03/2026,06/03/2026,sim,NJUD_1005_06-03-2026.mp3
03/2026,09/03/2026,sim,NJUD_1101_09-03-2026.mp3
03/2026,10/03/2026,sim,NJUD_1102_10-03-2026.mp3
