pasta,nome,njud,data,dt,weekday
01 - JAN - 26,NJUD_0204_08-01-2026.mp3,0204,08/01/2026,2026-01-08,3
01 - JAN - 26,NJUD_0205_09-01-2026.mp3,0205,09/01/2026,2026-01-09,4
01 - JAN - 26,NJUD_0301_12-01-2026.mp3,0301,12/01/2026,2026-01-12,0
01 - JAN - 26,NJUD_0303_14-01-2026.mp3,0303,14/01/2026,2026-01-14,2
01 - JAN - 26,NJUD_0304_15-01-2026.mp3,0304,15/01/2026,2026-01-15,3
01 - JAN - 26,NJUD_0305_16-01-2026.mp3,0305,16/01/2026,2026-01-16,4
01 - JAN - 26,NJUD_0401_19-01-2026.mp3,0401,19/01/2026,2026-01-19,0
01 - JAN - 26,NJUD_0402_20-01-2026.mp3,0402,20/01/2026,2026-01-20,1
01 - JAN - 26,NJUD_0403_21-01-2026.mp3,0403,21/01/2026,2026-01-21,2
01 - JAN - 26,NJUD_0404_22-01-2026.mp3,0404,22/01/2026,2026-01-22,3
01 - JAN - 26,NJUD_0501_26-01-2026.mp3,0501,26/01/2026,2026-01-26,0
01 - JAN - 26,NJUD_0502_27-01-2026.mp3,0502,27/01/2026,2026-01-27,1
01 - JAN - 26,NJUD_0503_28-01-2026.mp3,0503,28/01/2026,2026-01-28,2
01 - JAN - 26,NJUD_0504_29-01-2026.mp3,0504,29/01/2026,2026-01-29,3
02 - FEV - 26,NJUD_0601_02-02-2026.mp3,0601,02/02/2026,2026-02-02,0
02 - FEV - 26,NJUD_0602_03-02-2026.mp3,0602,03/02/2026,2026-02-03,1
02 - FEV - 26,NJUD_0603_04-02-2026.mp3,0603,04/02/2026,2026-02-04,2
02 - FEV - 26,NJUD_0604_05-02-2026.mp3,0604,05/02/2026,2026-02-05,3
02 - FEV - 26,NJUD_0605_06-02-2026.mp3,0605,06/02/2026,2026-02-06,4
02 - FEV - 26,NJUD_0701_09-02-2026.mp3,0701,09/02/2026,2026-02-09,0
02 - FEV - 26,NJUD_0702_10-02-2026.mp3,0702,10/02/2026,2026-02-10,1
02 - FEV - 26,NJUD_0703_11-02-2026.mp3,0703,11/02/2026,2026-02-11,2
02 - FEV - 26,NJUD_0704_12-02-2026.mp3,0704,12/02/2026,2026-02-12,3
02 - FEV - 26,NJUD_0705_13-02-2026.mp3,0705,13/02/2026,2026-02-13,4
02 - FEV - 26,NJUD_0804_19-02-2026.mp3,0804,19/02/2026,2026-02-19,3
02 - FEV - 26,NJUD_0805_20-02-2026.mp3,0805,20/02/2026,2026-02-20,4
02 - FEV - 26,NJUD_0901_23-02-2026.mp3,0901,23/02/2026,2026-02-23,0
02 - FEV - 26,NJUD_0902_24-02-2026.mp3,0902,24/02/2026,2026-02-24,1
02 - FEV - 26,NJUD_0904_26-02-2026.mp3,0904,26/02/2026,2026-02-26,3
02 - FEV - 26,NJUD_0905_27-02-2026.mp3,0905,27/02/2026,2026-02-27,4
03 - MAR - 26,NJUD_1001_02-03-2026.mp3,1001,02/03/2026,2026-03-02,0
03 - MAR - 26,NJUD_1002_03-03-2026.mp3,1002,03/03/2026,2026-03-03,1
03 - MAR - 26,NJUD_1003_04-03-2026.mp3,1003,04/03/2026,2026-03-04,2
03 - MAR - 26,NJUD_1004_05-03-2026.mp3,1004,05/03/2026,2026-03-05,3
03 - MAR - 26,NJUD_1005_06-03-2026.mp3,1005,06/03/2026,2026-03-06,4
03 - MAR - 26,NJUD_1101_09-03-2026.mp3,1101,09/03/2026,2026-03-09,0
03 - MAR - 26,NJUD_1102_10-03-2026.mp3,1102,10/03/2026,2026-03-10,1
03 - MAR - 26,NJUD_1103_11-03-2026.mp3,1103,11/03/2026,2026-03-11,2
03 - MAR - 26,NJUD_1104_12-03-2026.mp3,1104,12/03/2026,2026-03-12,3
03 - MAR - 26,NJUD_1105_13-03-2026.mp3,1105,13/03/2026,2026-03-13,4
03 - MAR - 26,NJUD_1201_16-03-2026.mp3,1201,16/03/2026,2026-03-16,0
03 - MAR - 26,NJUD_1202_17-03-2026.mp3,1202,17/03/2026,2026-03-17,1
03 - MAR - 26,NJUD_1203_18-03-2026.mp3,1203,18/03/2026,2026-03-18,2
03 - MAR - 26,NJUD_1204_19-03-2026.mp3,1204,19/03/2026,2026-03-19,3
03 - MAR - 26,NJUD_1205_20-03-2026.mp3,1205,20/03/2026,2026-03-20,4
03 - MAR - 26,NJUD_1301_23-03-2026.mp3,1301,23/03/2026,2026-03-23,0
03 - MAR - 26,NJUD_1302_24-03-2026.mp3,1302,24/03/2026,2026-03-24,1
03 - MAR - 26,NJUD_1304_26-03-2026.mp3,1304,26/03/2026,2026-03-26,3
03 - MAR - 26,NJUD_1305_27-03-2026.mp3,1305,27/03/2026,2026-03-27,4
03 - MAR - 26,NJUD_1401_30-03-2026.mp3,1401,30/03/2026,2026-03-30,0
03 - MAR - 26,NJUD_1402_31-03-2026.mp3,1402,31/03/2026,2026-03-31,1
04 - ABR - 26,NJUD_1501_06-04-2026.mp3,1501,06/04/2026,2026-04-06,0
04 - ABR - 26,NJUD_1502_07-04-2026.mp3,1502,07/04/2026,2026-04-07,1
04 - ABR - 26,NJUD_1503_08-04-2026.mp3,1503,08/04/2026,2026-04-08,2
