pasta,nome,njud,data,mes,ano,dia_util
01 - JAN - 26,NJUD_0203_07-01-2026.mp3,0203,2026-01-07,1,2026,sim
01 - JAN - 26,NJUD_0204_08-01-2026.mp3,0204,2026-01-08,1,2026,sim
01 - JAN - 26,NJUD_0205_09-01-2026.mp3,0205,2026-01-09,1,2026,sim
01 - JAN - 26,NJUD_0301_12-01-2026.mp3,0301,2026-01-12,1,2026,sim
01 - JAN - 26,NJUD_0303_14-01-2026.mp3,0303,2026-01-14,1,2026,sim
01 - JAN - 26,NJUD_0304_15-01-2026.mp3,0304,2026-01-15,1,2026,sim
01 - JAN - 26,NJUD_0305_16-01-2026.mp3,0305,2026-01-16,1,2026,sim
01 - JAN - 26,NJUD_0401_19-01-2026.mp3,0401,2026-01-19,1,2026,sim
01 - JAN - 26,NJUD_0402_20-01-2026.mp3,0402,2026-01-20,1,2026,sim
01 - JAN - 26,NJUD_0403_21-01-2026.mp3,0403,2026-01-21,1,2026,sim
01 - JAN - 26,NJUD_0404_22-01-2026.mp3,0404,2026-01-22,1,2026,sim
01 - JAN - 26,NJUD_0501_26-01-2026.mp3,0501,2026-01-26,1,2026,sim
01 - JAN - 26,NJUD_0502_27-01-2026.mp3,0502,2026-01-27,1,2026,sim
01 - JAN - 26,NJUD_0503_28-01-2026.mp3,0503,2026-01-28,1,2026,sim
01 - JAN - 26,NJUD_0504_29-01-2026.mp3,0504,2026-01-29,1,2026,sim
02 - FEV - 26,NJUD_0601_02-02-2026.mp3,0601,2026-02-02,2,2026,sim
02 - FEV - 26,NJUD_0602_03-02-2026.mp3,0602,2026-02-03,2,2026,sim
02 - FEV - 26,NJUD_0603_04-02-2026.mp3,0603,2026-02-04,2,2026,sim
02 - FEV - 26,NJUD_0604_05-02-2026.mp3,0604,2026-02-05,2,2026,sim
02 - FEV - 26,NJUD_0605_06-02-2026.mp3,0605,2026-02-06,2,2026,sim
02 - FEV - 26,NJUD_0701_09-02-2026.mp3,0701,2026-02-09,2,2026,sim
02 - FEV - 26,NJUD_0702_10-02-2026.mp3,0702,2026-02-10,2,2026,sim
02 - FEV - 26,NJUD_0703_11-02-2026.mp3,0703,2026-02-11,2,2026,sim
02 - FEV - 26,NJUD_0704_12-02-2026.mp3,0704,2026-02-12,2,2026,sim
02 - FEV - 26,NJUD_0705_13-02-2026.mp3,0705,2026-02-13,2,2026,sim
02 - FEV - 26,NJUD_0804_19-02-2026.mp3,0804,2026-02-19,2,2026,sim
02 - FEV - 26,NJUD_0805_20-02-2026.mp3,0805,2026-02-20,2,2026,sim
02 - FEV - 26,NJUD_0901_23-02-2026.mp3,0901,2026-02-23,2,2026,sim
02 - FEV - 26,NJUD_0902_24-02-2026.mp3,0902,2026-02-24,2,2026,sim
02 - FEV - 26,NJUD_0904_26-02-2026.mp3,0904,2026-02-26,2,2026,sim
02 - FEV - 26,NJUD_0905_27-02-2026.mp3,0905,2026-02-27,2,2026,sim
03 - MAR - 26,NJUD_1001_02-03-2026.mp3,1001,2026-03-02,3,2026,sim
03 - MAR - 26,NJUD_1002_03-03-2026.mp3,1002,2026-03-03,3,2026,sim
03 - MAR - 26,NJUD_1003_04-03-2026.mp3,1003,2026-03-04,3,2026,sim
03 - MAR - 26,NJUD_1004_05-03-2026.mp3,1004,2026-03-05,3,2026,sim
03 - MAR - 26,NJUD_1005_06-03-2026.mp3,1005,2026-03-06,3,2026,sim
03 - MAR - 26,NJUD_1101_09-03-2026.mp3,1101,2026-03-09,3,2026,sim
03 - MAR - 26,NJUD_1102_10-03-2026.mp3,1102,2026-03-10,3,2026,sim
03 - MAR - 26,NJUD_1103_11-03-2026.mp3,1103,2026-03-11,3,2026,sim
03 - MAR - 26,NJUD_1104_12-03-2026.mp3,1104,2026-03-12,3,2026,sim
03 - MAR - 26,NJUD_1105_13-03-2026.mp3,1105,2026-03-13,3,2026,sim
03 - MAR - 26,NJUD_1201_16-03-2026.mp3,1201,2026-03-16,3,2026,sim
03 - MAR - 26,NJUD_1202_17-03-2026.mp3,1202,2026-03-17,3,2026,sim
03 - MAR - 26,NJUD_1203_18-03-2026.mp3,1203,2026-03-18,3,2026,sim
03 - MAR - 26,NJUD_1204_19-03-2026.mp3,1204,2026-03-19,3,2026,sim
03 - MAR - 26,NJUD_1205_20-03-2026.mp3,1205,2026-03-20,3,2026,sim
03 - MAR - 26,NJUD_1301_23-03-2026.mp3,1301,2026-03-23,3,2026,sim
03 - MAR - 26,NJUD_1302_24-03-2026.mp3,1302,2026-03-24,3,2026,sim
03 - MAR - 26,NJUD_1304_26-03-2026.mp3,1304,2026-03-26,3,2026,sim
03 - MAR - 26,NJUD_1305_27-03-2026.mp3,1305,2026-03-27,3,2026,sim
03 - MAR - 26,NJUD_1401_30-03-2026.mp3,1401,2026-03-30,3,2026,sim
