mes_destino,njud,arquivo,data,boletim,retranca,entidade,bloqueado,src
AGOSTO,NJUD 1923,BOLETIM_RADIO_TJRN_26_08_2026_B1_RESPONSAVEL_INTERINO_MARCELINO_VIEIRA.mp3,26_08_2026,B1,RESPONSAVEL_INTERINO_MARCELINO_VIEIRA,RESPONSAVEL,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\07 - JUL - 26\08 07 - QUA
AGOSTO,NJUD 1923,BOLETIM_RADIO_TJRN_26_08_2026_B2_PESQUISA_JURISPRUDENCIA_INTERAMERICANA_NJUD.mp3,26_08_2026,B2,PESQUISA_JURISPRUDENCIA_INTERAMERICANA_NJUD,PESQUISA,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\07 - JUL - 26\08 07 - QUA
AGOSTO,NJUD 1923,BOLETIM_RADIO_TJRN_26_08_2026_B3_INDENIZACAO_FRAUDE_TELEFONIA_NJUD_.mp3,26_08_2026,B3,INDENIZACAO_FRAUDE_TELEFONIA_NJUD_,INDENIZACAO,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\07 - JUL - 26\08 07 - QUA
AGOSTO,NJUD 1923,BOLETIM_RADIO_TJRN_26_08_2026_B4_CIRURGIA_TORNOZELO_NJUD.mp3,26_08_2026,B4,CIRURGIA_TORNOZELO_NJUD,CIRURGIA,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\07 - JUL - 26\08 07 - QUA
AGOSTO,NJUD 1924,BOLETIM_RADIO_TJRN_26_08_2026_B5_PROPAGANDA_ENGANOSA_IMOVEL_NJUD_.mp3,26_08_2026,B5,PROPAGANDA_ENGANOSA_IMOVEL_NJUD_,PROPAGANDA,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\07 - JUL - 26\08 07 - QUA
AGOSTO,NJUD 1924,BOLETIM_RADIO_TJRN_26_08_2026_B6_INDENIZACAO_GRIFE_FALSIFICADA.mp3,26_08_2026,B6,INDENIZACAO_GRIFE_FALSIFICADA,INDENIZACAO,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\07 - JUL - 26\08 07 - QUA
AGOSTO,NJUD 1924,BOLETIM_RADIO_TJRN_26_08_2026_B7_FACULDADE_CONDENADA_COBRANCA_INDEVIDA.mp3,26_08_2026,B7,FACULDADE_CONDENADA_COBRANCA_INDEVIDA,FACULDADE,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\07 - JUL - 26\08 07 - QUA
AGOSTO,NJUD 1924,BOLETIM_RADIO_TJRN_26_08_2026_B9_PLATAFORMA_AUXILIO_PENAS_PECUNIARIAS.mp3,26_08_2026,B9,PLATAFORMA_AUXILIO_PENAS_PECUNIARIAS,PLATAFORMA,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\07 - JUL - 26\08 07 - QUA
AGOSTO,NJUD 1925,BOLETIM_RADIO_TJRN_26_08_2026_B8_CNJ_VIDEOS_CUIDADOS.mp3,26_08_2026,B8,CNJ_VIDEOS_CUIDADOS,CNJ,SIM,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\07 - JUL - 26\08 07 - QUA
AGOSTO,NJUD 1925,BOLETIM_RADIO_TJRN_26_08_2026_B10_TRTRN_SUPERA_META.mp3,26_08_2026,B10,TRTRN_SUPERA_META,TRTRN,SIM,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\07 - JUL - 26\08 07 - QUA
AGOSTO,NJUD 1925,BOLETIM_RADIO_TJRN_14_04_2026_B9_CONDENACAO_GOLPE_IDOSA.mp3,14_04_2026,B9,CONDENACAO_GOLPE_IDOSA,CONDENACAO,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\04 - ABR - 26\14 04 - TER
