data,mes,status
26-03-2026,03 - MAR - 26,PENDENTE
27-03-2026,03 - MAR - 26,PENDENTE
30-03-2026,03 - MAR - 26,PENDENTE
31-03-2026,03 - MAR - 26,PENDENTE
01-04-2026,04 - ABR - 26,PENDENTE
02-04-2026,04 - ABR - 26,PENDENTE
03-04-2026,04 - ABR - 26,PENDENTE
06-04-2026,04 - ABR - 26,PENDENTE
07-04-2026,04 - ABR - 26,PENDENTE
08-04-2026,04 - ABR - 26,PENDENTE
09-04-2026,04 - ABR - 26,PENDENTE
10-04-2026,04 - ABR - 26,PENDENTE
13-04-2026,04 - ABR - 26,PENDENTE
14-04-2026,04 - ABR - 26,PENDENTE
21-04-2026,04 - ABR - 26,PENDENTE
