data,mes,status
03-08-2026,08 - AGO - 26,PENDENTE
04-08-2026,08 - AGO - 26,PENDENTE
05-08-2026,08 - AGO - 26,PENDENTE
06-08-2026,08 - AGO - 26,PENDENTE
07-08-2026,08 - AGO - 26,PENDENTE
10-08-2026,08 - AGO - 26,PENDENTE
11-08-2026,08 - AGO - 26,PENDENTE
12-08-2026,08 - AGO - 26,PENDENTE
13-08-2026,08 - AGO - 26,PENDENTE
14-08-2026,08 - AGO - 26,PENDENTE
17-08-2026,08 - AGO - 26,PENDENTE
18-08-2026,08 - AGO - 26,PENDENTE
19-08-2026,08 - AGO - 26,PENDENTE
20-08-2026,08 - AGO - 26,PENDENTE
21-08-2026,08 - AGO - 26,PENDENTE
24-08-2026,08 - AGO - 26,PENDENTE
25-08-2026,08 - AGO - 26,PENDENTE
27-08-2026,08 - AGO - 26,PENDENTE
28-08-2026,08 - AGO - 26,PENDENTE
31-08-2026,08 - AGO - 26,PENDENTE
