[21:30:27] JORNAIS=552 (init) | PROCESSED=0 (init) | OUTPUT=0 (init) | CABECA=0 CORPO=0 | audit=missing
[21:30:57] JORNAIS=567 (+15) | PROCESSED=0 (+0) | OUTPUT=0 (+0) | CABECA=0 CORPO=0 | audit=missing
[21:31:27] JORNAIS=587 (+20) | PROCESSED=0 (+0) | OUTPUT=0 (+0) | CABECA=0 CORPO=0 | audit=missing
[21:31:57] JORNAIS=607 (+20) | PROCESSED=0 (+0) | OUTPUT=0 (+0) | CABECA=0 CORPO=0 | audit=missing
[21:32:27] JORNAIS=619 (+12) | PROCESSED=0 (+0) | OUTPUT=0 (+0) | CABECA=0 CORPO=0 | audit=missing
[21:32:57] JORNAIS=619 (+0) | PROCESSED=0 (+0) | OUTPUT=0 (+0) | CABECA=0 CORPO=0 | audit=missing
[21:33:27] JORNAIS=619 (+0) | PROCESSED=0 (+0) | OUTPUT=0 (+0) | CABECA=0 CORPO=0 | audit=missing
[21:33:57] JORNAIS=619 (+0) | PROCESSED=2 (+2) | OUTPUT=0 (+0) | CABECA=1 CORPO=1 | audit=missing
[21:34:27] JORNAIS=619 (+0) | PROCESSED=2 (+0) | OUTPUT=0 (+0) | CABECA=1 CORPO=1 | audit=missing
[21:34:58] JORNAIS=619 (+0) | PROCESSED=4 (+2) | OUTPUT=0 (+0) | CABECA=2 CORPO=2 | audit=missing
[21:35:28] JORNAIS=619 (+0) | PROCESSED=4 (+0) | OUTPUT=0 (+0) | CABECA=2 CORPO=2 | audit=missing
[21:35:58] JORNAIS=619 (+0) | PROCESSED=6 (+2) | OUTPUT=0 (+0) | CABECA=3 CORPO=3 | audit=missing
[21:36:28] JORNAIS=619 (+0) | PROCESSED=8 (+2) | OUTPUT=0 (+0) | CABECA=4 CORPO=4 | audit=missing
[21:36:58] JORNAIS=619 (+0) | PROCESSED=8 (+0) | OUTPUT=0 (+0) | CABECA=4 CORPO=4 | audit=missing
[21:37:28] JORNAIS=619 (+0) | PROCESSED=10 (+2) | OUTPUT=0 (+0) | CABECA=5 CORPO=5 | audit=missing
[21:37:58] JORNAIS=619 (+0) | PROCESSED=10 (+0) | OUTPUT=0 (+0) | CABECA=5 CORPO=5 | audit=missing
[21:38:28] JORNAIS=619 (+0) | PROCESSED=10 (+0) | OUTPUT=0 (+0) | CABECA=5 CORPO=5 | audit=missing
[21:38:58] JORNAIS=619 (+0) | PROCESSED=12 (+2) | OUTPUT=0 (+0) | CABECA=6 CORPO=6 | audit=missing
[21:39:28] JORNAIS=619 (+0) | PROCESSED=12 (+0) | OUTPUT=0 (+0) | CABECA=6 CORPO=6 | audit=missing
[21:39:58] JORNAIS=619 (+0) | PROCESSED=14 (+2) | OUTPUT=0 (+0) | CABECA=7 CORPO=7 | audit=missing
[21:40:28] JORNAIS=619 (+0) | PROCESSED=14 (+0) | OUTPUT=0 (+0) | CABECA=7 CORPO=7 | audit=missing
[21:40:59] JORNAIS=619 (+0) | PROCESSED=16 (+2) | OUTPUT=0 (+0) | CABECA=8 CORPO=8 | audit=missing
[21:41:29] JORNAIS=619 (+0) | PROCESSED=16 (+0) | OUTPUT=0 (+0) | CABECA=8 CORPO=8 | audit=missing
[21:41:59] JORNAIS=619 (+0) | PROCESSED=18 (+2) | OUTPUT=0 (+0) | CABECA=9 CORPO=9 | audit=missing
[21:42:29] JORNAIS=619 (+0) | PROCESSED=20 (+2) | OUTPUT=0 (+0) | CABECA=10 CORPO=10 | audit=missing
[21:42:59] JORNAIS=619 (+0) | PROCESSED=20 (+0) | OUTPUT=0 (+0) | CABECA=10 CORPO=10 | audit=missing
[21:43:29] JORNAIS=619 (+0) | PROCESSED=22 (+2) | OUTPUT=0 (+0) | CABECA=11 CORPO=11 | audit=missing
[21:43:59] JORNAIS=619 (+0) | PROCESSED=22 (+0) | OUTPUT=0 (+0) | CABECA=11 CORPO=11 | audit=missing
[21:44:29] JORNAIS=619 (+0) | PROCESSED=24 (+2) | OUTPUT=0 (+0) | CABECA=12 CORPO=12 | audit=missing
[21:44:59] JORNAIS=619 (+0) | PROCESSED=26 (+2) | OUTPUT=0 (+0) | CABECA=13 CORPO=13 | audit=missing
[21:45:29] JORNAIS=619 (+0) | PROCESSED=26 (+0) | OUTPUT=0 (+0) | CABECA=13 CORPO=13 | audit=missing
[21:46:00] JORNAIS=619 (+0) | PROCESSED=28 (+2) | OUTPUT=0 (+0) | CABECA=14 CORPO=14 | audit=missing
[21:46:30] JORNAIS=619 (+0) | PROCESSED=28 (+0) | OUTPUT=0 (+0) | CABECA=14 CORPO=14 | audit=missing
[21:47:00] JORNAIS=619 (+0) | PROCESSED=30 (+2) | OUTPUT=0 (+0) | CABECA=15 CORPO=15 | audit=missing
[21:47:30] JORNAIS=619 (+0) | PROCESSED=32 (+2) | OUTPUT=0 (+0) | CABECA=16 CORPO=16 | audit=missing
[21:48:00] JORNAIS=619 (+0) | PROCESSED=32 (+0) | OUTPUT=0 (+0) | CABECA=16 CORPO=16 | audit=missing
[21:48:30] JORNAIS=619 (+0) | PROCESSED=34 (+2) | OUTPUT=0 (+0) | CABECA=17 CORPO=17 | audit=missing
[21:49:00] JORNAIS=619 (+0) | PROCESSED=36 (+2) | OUTPUT=0 (+0) | CABECA=18 CORPO=18 | audit=missing
[21:49:30] JORNAIS=619 (+0) | PROCESSED=38 (+2) | OUTPUT=0 (+0) | CABECA=19 CORPO=19 | audit=missing
[21:50:00] JORNAIS=619 (+0) | PROCESSED=40 (+2) | OUTPUT=0 (+0) | CABECA=20 CORPO=20 | audit=missing
[21:50:30] JORNAIS=619 (+0) | PROCESSED=40 (+0) | OUTPUT=0 (+0) | CABECA=20 CORPO=20 | audit=missing
[21:51:00] JORNAIS=619 (+0) | PROCESSED=42 (+2) | OUTPUT=0 (+0) | CABECA=21 CORPO=21 | audit=missing
[21:51:30] JORNAIS=619 (+0) | PROCESSED=44 (+2) | OUTPUT=0 (+0) | CABECA=22 CORPO=22 | audit=missing
[21:52:01] JORNAIS=619 (+0) | PROCESSED=46 (+2) | OUTPUT=0 (+0) | CABECA=23 CORPO=23 | audit=missing
[21:52:31] JORNAIS=619 (+0) | PROCESSED=48 (+2) | OUTPUT=0 (+0) | CABECA=24 CORPO=24 | audit=missing
[21:53:01] JORNAIS=619 (+0) | PROCESSED=48 (+0) | OUTPUT=0 (+0) | CABECA=24 CORPO=24 | audit=missing
[21:53:31] JORNAIS=619 (+0) | PROCESSED=50 (+2) | OUTPUT=0 (+0) | CABECA=25 CORPO=25 | audit=missing
[21:54:01] JORNAIS=619 (+0) | PROCESSED=52 (+2) | OUTPUT=0 (+0) | CABECA=26 CORPO=26 | audit=missing
[21:54:31] JORNAIS=619 (+0) | PROCESSED=54 (+2) | OUTPUT=0 (+0) | CABECA=27 CORPO=27 | audit=missing
[21:55:01] JORNAIS=619 (+0) | PROCESSED=56 (+2) | OUTPUT=0 (+0) | CABECA=28 CORPO=28 | audit=missing
[21:55:31] JORNAIS=619 (+0) | PROCESSED=58 (+2) | OUTPUT=0 (+0) | CABECA=29 CORPO=29 | audit=missing
[21:56:01] JORNAIS=619 (+0) | PROCESSED=60 (+2) | OUTPUT=0 (+0) | CABECA=30 CORPO=30 | audit=missing
[21:56:31] JORNAIS=619 (+0) | PROCESSED=62 (+2) | OUTPUT=0 (+0) | CABECA=31 CORPO=31 | audit=missing
[21:57:01] JORNAIS=619 (+0) | PROCESSED=64 (+2) | OUTPUT=0 (+0) | CABECA=32 CORPO=32 | audit=missing
[21:57:31] JORNAIS=619 (+0) | PROCESSED=66 (+2) | OUTPUT=0 (+0) | CABECA=33 CORPO=33 | audit=missing
[21:58:01] JORNAIS=619 (+0) | PROCESSED=68 (+2) | OUTPUT=0 (+0) | CABECA=34 CORPO=34 | audit=missing
[21:58:31] JORNAIS=619 (+0) | PROCESSED=72 (+4) | OUTPUT=0 (+0) | CABECA=36 CORPO=36 | audit=missing
[21:59:01] JORNAIS=619 (+0) | PROCESSED=74 (+2) | OUTPUT=0 (+0) | CABECA=37 CORPO=37 | audit=missing
[21:59:31] JORNAIS=619 (+0) | PROCESSED=76 (+2) | OUTPUT=0 (+0) | CABECA=38 CORPO=38 | audit=missing
