LINHA,CAMINHO,PROGRAMA,NUMERO_EXTRAIDO
2,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1794_01-01-2026.mp3,NJUD_1794,1794
3,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1797_02-01-2026.mp3,NJUD_1797,1797
4,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1804_05-01-2026.mp3,NJUD_1804,1804
5,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1812_06-01-2026.mp3,NJUD_1812,1812
8,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1793_07-01-2026.mp3,NJUD_1793,1793
10,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1794_08-01-2026.mp3,NJUD_1794,1794
11,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1795_08-01-2026.mp3,NJUD_1795,1795
12,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1796_08-01-2026.mp3,NJUD_1796,1796
14,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1797_09-01-2026.mp3,NJUD_1797,1797
15,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1798_09-01-2026.mp3,NJUD_1798,1798
