arquivo,pasta_drive,status,observacao
NJUD_0204_08-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0205_09-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0301_12-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0303_14-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0304_15-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0305_16-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0401_19-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0402_20-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0403_21-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0404_22-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0501_26-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0502_27-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0503_28-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0504_29-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_0203_07-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1793_09-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1796_14-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1799_19-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1801_21-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1803_23-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1806_28-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1808_30-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1809_02-02-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1792_08-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1795_13-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1798_16-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
NJUD_1800_20-01-2026.mp3,01 - JAN - 26,orfao,"Presente no Drive, ausente em JORNAIS_FINAL"
