MES,DIA,PROGRAMA,DATA,STATUS,CAMINHO
JAN,1,NJUD_1794,01/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1794_01-01-2026.mp3
JAN,2,NJUD_1797,02/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1797_02-01-2026.mp3
JAN,5,NJUD_1804,05/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1804_05-01-2026.mp3
JAN,6,NJUD_1812,06/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1812_06-01-2026.mp3
JAN,7,NJUD_0203,07/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0203_07-01-2026.mp3
JAN,7,NJUD_1792,07/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1792_07-01-2026.mp3
JAN,7,NJUD_1793,07/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1793_07-01-2026.mp3
JAN,8,NJUD_0204,08/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0204_08-01-2026.mp3
JAN,8,NJUD_1794,08/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1794_08-01-2026.mp3
JAN,8,NJUD_1795,08/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1795_08-01-2026.mp3
JAN,8,NJUD_1796,08/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1796_08-01-2026.mp3
JAN,9,NJUD_0205,09/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0205_09-01-2026.mp3
JAN,9,NJUD_1797,09/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1797_09-01-2026.mp3
JAN,9,NJUD_1798,09/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1798_09-01-2026.mp3
JAN,9,NJUD_1799,09/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1799_09-01-2026.mp3
JAN,12,NJUD_0301,12/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0301_12-01-2026.mp3
JAN,12,NJUD_1800,12/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1800_12-01-2026.mp3
JAN,12,NJUD_1801,12/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1801_12-01-2026.mp3
JAN,13,NJUD_1802,13/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1802_13-01-2026.mp3
JAN,13,NJUD_1803,13/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1803_13-01-2026.mp3
JAN,14,NJUD_0303,14/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0303_14-01-2026.mp3
JAN,14,NJUD_1804,14/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1804_14-01-2026.mp3
JAN,14,NJUD_1805,14/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1805_14-01-2026.mp3
JAN,14,NJUD_1806,14/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1806_14-01-2026.mp3
JAN,15,NJUD_0304,15/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0304_15-01-2026.mp3
JAN,15,NJUD_1807,15/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1807_15-01-2026.mp3
JAN,15,NJUD_1808,15/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1808_15-01-2026.mp3
JAN,16,NJUD_0305,16/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0305_16-01-2026.mp3
JAN,16,NJUD_1809,16/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1809_16-01-2026.mp3
JAN,19,NJUD_0401,19/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0401_19-01-2026.mp3
JAN,19,NJUD_1792,19/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1792_19-01-2026.mp3
JAN,20,NJUD_0402,20/01/2026,FINALIZADO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0402_20-01-2026.mp3
