LINHA,CAMINHO,PROGRAMA,NUMERO_EXTRAIDO
6,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0203_07-01-2026.mp3,NJUD_0203,0203
7,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1792_07-01-2026.mp3,NJUD_1792,1792
9,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0204_08-01-2026.mp3,NJUD_0204,0204
13,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0205_09-01-2026.mp3,NJUD_0205,0205
17,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0301_12-01-2026.mp3,NJUD_0301,0301
22,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0303_14-01-2026.mp3,NJUD_0303,0303
26,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0304_15-01-2026.mp3,NJUD_0304,0304
29,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0305_16-01-2026.mp3,NJUD_0305,0305
31,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0401_19-01-2026.mp3,NJUD_0401,0401
32,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - 01 - 26\NJUD_1792_19-01-2026.mp3,NJUD_1792,1792
33,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0402_20-01-2026.mp3,NJUD_0402,0402
35,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0403_21-01-2026.mp3,NJUD_0403,0403
37,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0404_22-01-2026.mp3,NJUD_0404,0404
40,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0501_26-01-2026.mp3,NJUD_0501,0501
42,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0502_27-01-2026.mp3,NJUD_0502,0502
44,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0503_28-01-2026.mp3,NJUD_0503,0503
46,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\01 - JAN - 26\NJUD_0504_29-01-2026.mp3,NJUD_0504,0504
49,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0601_02-02-2026.mp3,NJUD_0601,0601
51,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0602_03-02-2026.mp3,NJUD_0602,0602
55,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0603_04-02-2026.mp3,NJUD_0603,0603
58,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0604_05-02-2026.mp3,NJUD_0604,0604
61,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0605_06-02-2026.mp3,NJUD_0605,0605
64,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0701_09-02-2026.mp3,NJUD_0701,0701
68,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0702_10-02-2026.mp3,NJUD_0702,0702
71,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0703_11-02-2026.mp3,NJUD_0703,0703
73,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0704_12-02-2026.mp3,NJUD_0704,0704
75,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\02_JORNAIS_NJUD\03_AUDIOS_RADIO\02 - FEV - 26\NJUD_0705_13-02-2026.mp3,NJUD_0705,0705
