arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db,ffmpeg_sil_inicio_ms,ffmpeg_sil_fim_ms,ffmpeg_status
BOLETIM_RADIO_TJRN_06_04_2026_B1_TJRN_FALHA_ELETRONICA_REGISTRO_DOCUMENTO__CABECA.mp3,CABECA,OK,14.65,O,responsável.,,,-56.5,-43.9,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B2_TJRN_PROJETO_GMF_REDE_SOCIOEDUCATIVA__CABECA.mp3,CABECA,OK,6.13,O,TJRN.,,,-48.2,-22.1,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B3_TJRN_COJUD_PROCESSO_SELETIVO__CABECA.mp3,CABECA,OK,7.54,A,economia.,,,-80.8,-51.1,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B4_TJRN_MUNICIPIO_GARANTIR_CONSULTAS__CABECA.mp3,CABECA,OK,7.32,A,imediata.,,,-74.7,-17.8,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B4_TJRN_NEGADO_ATO_IMPROBIDADE_SAO_MIGUEL__CABECA.mp3,CABECA,OK,12.21,O,Gostoso.,,,-45.2,-65.2,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B6_TJRN_ACUSADO_SEQUESTRO__CABECA.mp3,CABECA,OK,9.92,A,Caicó.,,,-57.2,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B8_MPRN_EX_SECRETARIO_MOSSORO_CONDENADO_CABECA.mp3,CABECA,OK,7.72,Após,cirerário.,,,-52.7,-31.1,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B9_INDENIZACAO_FALTA_AGUA_CABECA.mp3,CABECA,OK,10.89,O,morais.,,,-57.1,-46.4,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B1_TJRN_SANTA_CRUZ_PROJETOS_SOCIAIS__CABECA.mp3,CABECA,OK,15.19,O,penais.,,,-45.6,-74.7,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B2_TJRN_BANCO_CONDENADO_VAZAMENTOS_DADOS__CABECA.mp3,CABECA,OK,12.17,de,diária.,,,-71.2,-37.3,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B3_TJRN_ACAO_ALIMENTOS_IDOSO_ALZHEIMER__CABECA.mp3,CABECA,OK,7.73,A,Natal.,,,-120.0,-24.7,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B4_TJRN_PLANO_SAUDE_CONDENADO_CIRURGIA_OCULAR__CABECA.mp3,CABECA,CORTADO,2.11,Cobertura,Cobertura,CABEÇA muito curta (2.1s) — provável corte no início da manchete,,-40.2,-32.2,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B6_TJRN_CAMARA_SESSAO_EXTRAORDINARIA_HIBRIDA__CABECA.mp3,CABECA,OK,5.68,Primeira,abril.,,,-24.7,-24.2,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B7_TJRN_SEMANA_NACIONAL_REGISTRO_CIVIL_CABECA.mp3,CABECA,OK,14.59,A,-se!,,,-57.1,-80.8,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B8_TRTRN_NOVA_SALA_ESPERA_AUDIENCIA__CABECA.mp3,CABECA,OK,5.64,Guarda,climatizada.,,,-120.0,-33.4,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B9_TRERN_CAMPANHA_ARRECADACOES_LIVROS_INFANTIS__CABECA.mp3,CABECA,OK,4.61,Biblioteca,infantis.,,,-120.0,-16.4,0,0,ok
BOLETIM_RADIO_TJRN_10_04_2026_B1_TJRN_DECISAO_REALIZACAO_PERICIA_ASSINATURA__CABECA.mp3,CABECA,OK,13.19,A,cartório.,,,-84.3,-26.8,0,0,ok
BOLETIM_RADIO_TJRN_10_04_2026_B2_TJRN_SUPERLOTACAO_CARCERARIA_PROGRESSAO_REGIME__CABECA.mp3,CABECA,OK,6.54,Superlotação,prisional.,,,-120.0,-33.4,0,0,ok
BOLETIM_RADIO_TJRN_10_04_2026_B3_TJRN_COSERN_CANCELAR_DEBITO_FRAUDE__CABECA.mp3,CABECA,OK,15.26,A,Apodí.,,,-69.5,-21.9,0,0,ok
BOLETIM_RADIO_TJRN_10_04_2026_B4_TJRN_CLIENTE_SOFRE_GOLPE_EMPRESTIMO_CONSIGNADO__CABECA.mp3,CABECA,OK,6.72,Clite,consignado.,,,-120.0,-24.2,0,0,ok
BOLETIM_RADIO_TJRN_13_04_2026_B2_TJRN_PARNAMIRIM_CONDENADO_ACIDENTE_TRANSPORTE__CABECA.mp3,CABECA,OK,5.8,O,transporte.,,,-120.0,-23.9,0,0,ok
BOLETIM_RADIO_TJRN_13_04_2026_B3_TJRN_IPERN_CONDENADO_INDENIZAR_SERVIDORA__CABECA.mp3,CABECA,OK,4.57,e,aposentadoria.,,,-120.0,-25.0,0,0,ok
BOLETIM_RADIO_TJRN_13_04_2026_B4_TJRN_ACUSADOS_CRIMES_TRAFICO__CABECA.mp3,CABECA,OK,5.68,Acusados,definidas.,,,-120.0,-33.1,0,0,ok
BOLETIM_RADIO_TJRN_13_04_2026_B5_TJRN_PASSAGEIRA_RECEBEU_MALA_DANIFICADA__CABECA.mp3,CABECA,OK,10.84,Uma,internacional.,,,-84.3,-26.5,0,0,ok
BOLETIM_RADIO_TJRN_14_04_2026_B1_BLOQUEIO_TRATAMENTO_CRIANCA_TEA_CABECA.mp3,CABECA,OK,5.72,Mantido,autista.,,,-120.0,-20.7,0,0,ok
BOLETIM_RADIO_TJRN_14_04_2026_B2_ANULACAO_DEBITO_TRIBUTARIO_CABECA.mp3,CABECA,OK,15.24,O,TJRN.,,,-44.6,-47.1,0,0,ok
BOLETIM_RADIO_TJRN_14_04_2026_B3_CONDENACAO_PLANO_CIRURGIA_FACIAL_CABECA.mp3,CABECA,OK,13.17,O,morais.,,,-61.7,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_14_04_2026_B4_INDENIZACAO_FALTA_HIGIENE_HOSPEDAGEM_CABECA.mp3,CABECA,OK,12.05,O,Recife.,,,-46.6,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_15_04_2026_B3_TJRN_COLISAO_E_FUGA_CONDUTOR__CABECA.mp3,CABECA,OK,9.13,O,logísticos.,,,-44.7,-40.5,0,0,ok
BOLETIM_RADIO_TJRN_15_04_2026_B4_TJRN_VARA_CIVEL_NATAL_PREMIO_ADVOGADOS__CABECA.mp3,CABECA,OK,10.04,E,população.,,,-49.6,-22.1,0,0,ok
BOLETIM_RADIO_TJRN_15_04_2026_B5_TJRN_SELECAO_ESTAGIO_PAU_FERROS__CABECA.mp3,CABECA,OK,6.43,A,direito.,,,-84.3,-32.8,0,0,ok
BOLETIM_RADIO_TJRN_15_04_2026_B8_DPERN_INSCRICAO_CANDIDATO_PM_CABECA.mp3,CABECA,OK,9.02,A,&D.,,,-49.3,-51.6,0,0,ok
BOLETIM_RADIO_TJRN_16_04_2026_B10_OABRN_PADRONIZACAO_PROCESSOS__CABECA.mp3,CABECA,OK,8.22,O,Brasília.,,,-120.0,-35.7,0,0,ok
BOLETIM_RADIO_TJRN_16_04_2026_B2_TJRN_ACUSADO_VARIOS_DELITOS_GOIANINHA__CABECA.mp3,CABECA,OK,4.82,Acusado,montada.,,,-120.0,-32.4,0,0,ok
BOLETIM_RADIO_TJRN_16_04_2026_B7_MPRN_VERBAS_PECUNIARIAS__CABECA.mp3,CABECA,OK,8.26,O,PRF.,,,-42.9,-54.1,0,0,ok
BOLETIM_RADIO_TJRN_16_04_2026_B9_TJRN_ACAO_INTEGRADA_EMISSAO_DOCUMENTOS__CABECA.mp3,CABECA,OK,15.73,A,estado.,,,-120.0,-63.1,0,0,ok
BOLETIM_RADIO_TJRN_17_04_2026_B2_TJRN_RECONHECE_COMPETENCIA_IELMO_MARINHO_TAXA__CABECA.mp3,CABECA,OK,12.12,O,telefonia.,,,-59.9,-19.7,0,0,ok
BOLETIM_RADIO_TJRN_17_04_2026_B5_TRTRN_PROJETO_ACESSIBILIDADE_ATITUDINAL__CABECA.mp3,CABECA,OK,5.09,O,Inclusão.,,,-42.9,-17.8,0,0,ok
BOLETIM_RADIO_TJRN_17_04_2026_B6_MPRN_JURI_CONDENACAO_HOMEM_MORTE_CABECA.mp3,CABECA,OK,12.8,Em,Araújo.,,,-69.5,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_17_04_2026_B8_CONDENACAO_PAGAMENTO_FUNCARTE_CABECA.mp3,CABECA,OK,7.26,Justiça,Fazenda...,,,-120.0,-19.2,0,0,ok
BOLETIM_RADIO_TJRN_22_04_2026_B10_MPRN_RECOMENDA_RETIRADA_PLACAS_AREZ_CABECA.mp3,CABECA,OK,8.31,O,públicas.,,,-120.0,-27.6,0,0,ok
BOLETIM_RADIO_TJRN_22_04_2026_B2_ENCERRAMENTO_REGISTRE_SE_CABECA.mp3,CABECA,OK,14.75,O,vulnerável.,,,-84.3,-51.8,0,0,ok
BOLETIM_RADIO_TJRN_22_04_2026_B8_ESTAGIO_POS_JOAO_CAMARA_CABECA.mp3,CABECA,OK,7.18,A,direito.,,,-63.5,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_22_04_2026_B9_TRTRN_CONTRATO_INTERMITENTE_FALHA_CTPS_CABECA.mp3,CABECA,OK,11.37,A,intermitente.,,,-50.7,-39.3,0,0,ok
BOLETIM_RADIO_TJRN_23_04_2026_B2_DANOS_MORAIS_MESA_MADEIRA_CABECA.mp3,CABECA,OK,11.6,O,imóvel.,,,-120.0,-26.1,0,0,ok
