arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db,ffmpeg_sil_inicio_ms,ffmpeg_sil_fim_ms,ffmpeg_status
BOLETIM_RADIO_TJRN_26_03_2026_B10_TRTRN_MOBILIZACAO_RODOVIARIA__CABECA.mp3,CABECA,OK,5.9,Mobilização,pessoas.,,,-40.5,-30.7,0,0,ok
BOLETIM_RADIO_TJRN_26_03_2026_B1_MUTIRAO_POP_RUA_JUD_NJUD_1929_CABECA.mp3,CABECA,OK,6.34,Multirão,rua.,,,-35.1,-15.0,0,0,ok
BOLETIM_RADIO_TJRN_26_03_2026_B2_TJRN_PENAS_PECUNIARIAS_NISIA_FLORESTA_NJUD_1929_CABECA.mp3,CABECA,OK,7.49,Como,Floresta.,,,-41.1,-26.0,0,0,ok
BOLETIM_RADIO_TJRN_26_03_2026_B3_TJRN_LITERATURA_CARCERE_FLIP_2026_CABECA.mp3,CABECA,OK,9.05,Projeto,nacionais.,,,-120.0,-28.6,0,0,ok
BOLETIM_RADIO_TJRN_26_03_2026_B4_ESTAGIO_VARA_EXECUCAO_MOSSORO_CABECA.mp3,CABECA,OK,5.89,Estirevara,-endireito.,,,-47.6,-21.2,0,0,ok
BOLETIM_RADIO_TJRN_26_03_2026_B5_CONDENACAO_OFICINA_SERVICO_DEFEITUOSO_NJUD_1929_CABECA.mp3,CABECA,OK,5.16,A,&D.,,,-42.5,-23.7,0,0,ok
BOLETIM_RADIO_TJRN_26_03_2026_B6_TJRN_MANTIDA_CONDENACAO_TRAFICO_REDES_SOCIAIS_NJUD_1929_CABECA.mp3,CABECA,OK,6.54,Mantida,sociais.,,,-120.0,-23.4,0,0,ok
BOLETIM_RADIO_TJRN_26_03_2026_B6_TJRN_RESPONSAVEL_INTERINO_LUIS_GOMES_CABECA.mp3,CABECA,OK,5.95,O,Paraná.,,,-40.5,-30.6,0,0,ok
BOLETIM_RADIO_TJRN_26_03_2026_B7_TJRN_VARA_FAZENDA_HOMOLOGA_RESULTADO_CABECA.mp3,CABECA,CORTADO,1.62,Quinta,Na...,"energia de fala na borda final (-13.1 dBFS, piso -25.1); termina com conectivo isolado: 'Na...'; CABEÇA muito curta (1.6s) — provável corte no início da manchete",,-35.4,-13.1,0,0,ok
BOLETIM_RADIO_TJRN_26_03_2026_B8_TJRN_1_CAMARA_SESSAO_EXTRAORDINARIA__CABECA.mp3,CABECA,OK,7.62,Primeira,agosto.,,,-40.9,-28.4,0,0,ok
BOLETIM_RADIO_TJRN_26_03_2026_B9_DPERN_DECISAO_REFORMA_CENTRO_QUEIMADO_CABECA.mp3,CABECA,OK,4.98,DPRN,queimados.,,,-35.2,-18.8,0,0,ok
BOLETIM_RADIO_TJRN_26_04_2026_B10_TRERN_SISTEMA_DE_DENUNCIAS__CABECA.mp3,CABECA,OK,5.74,TRRN,eleitoral.,,,-120.0,-30.1,0,0,ok
BOLETIM_RADIO_TJRN_26_04_2026_B1_TJRN_SECRETARIA_AUDITORIA_INTERNA_FORUM__CABECA.mp3,CABECA,SEM_FALA,0.2,,,nenhuma palavra transcrita,,,,,,
BOLETIM_RADIO_TJRN_26_04_2026_B2_TJRN_CONQUISTA_PRIMEIRO_LUGAR_CONBRASCOM_NJUD_1929_CABECA.mp3,CABECA,OK,7.71,TJ,2026.,,,-120.0,-30.3,0,0,ok
BOLETIM_RADIO_TJRN_26_04_2026_B3_TJRN_LOCADORA_VEICULOS_CONDENADA_NJUD_1929_CABECA.mp3,CABECA,OK,5.29,O,pai.,,,-120.0,-22.6,0,0,ok
BOLETIM_RADIO_TJRN_26_04_2026_B4_TJRN_DETERMINA_PLANO_AUTORIZAR_CIRURGIA_NJUD_1929_CABECA.mp3,CABECA,OK,9.99,Justiça,empresa...,,,-120.0,-18.2,0,0,ok
BOLETIM_RADIO_TJRN_26_04_2026_B5_TJRN_EXTINGUE_ACAO_LOTERIA_MUNICIPAL_CABECA.mp3,CABECA,OK,7.0,Que,norma.,,,-120.0,-33.3,0,0,ok
BOLETIM_RADIO_TJRN_26_04_2026_B6_TJRN_CONSUMIDOR_CANCELAMENTO_EMBARQUE_NJUD_1929_CABECA.mp3,CABECA,OK,7.83,Consumidor,embarque.,,,-120.0,-28.4,0,0,ok
BOLETIM_RADIO_TJRN_26_04_2026_B7_TJRN_MANTIDO_JURI_HOMICIDIO__CABECA.mp3,CABECA,CORTADO,6.39,Mantido,Natal.,"energia de fala na borda final (-13.0 dBFS, piso -30.7)",,-80.8,-13.0,0,0,ok
BOLETIM_RADIO_TJRN_26_04_2026_B8_ESMARN_INSCRICOES_ESTAGIO_LETRAS__CABECA.mp3,CABECA,OK,5.33,Aberta,inglês.,,,-30.5,-23.1,0,0,ok
BOLETIM_RADIO_TJRN_26_04_2026_B9_MPRN_NOVA_SEDE_CENTRO_ATENCAO_SANTOS_REIS__CABECA.mp3,CABECA,OK,5.5,MPRN,Reis.,,,-120.0,-21.3,0,0,ok
BOLETIM_RADIO_TJRN_26_05_2026_B10_MPRN_ORIENTA_JARDIM_SERIDO_TAXI_CABECA.mp3,CABECA,OK,5.62,MPRN,taxi.,,,-35.2,-25.5,0,0,ok
BOLETIM_RADIO_TJRN_26_05_2026_B1_TJRN_PROJETO_ACESSIBILIDADE_FORUNS_NJUD_1930_CABECA.mp3,CABECA,OK,7.69,Projeto,Estado.,,,-120.0,-31.7,0,0,ok
BOLETIM_RADIO_TJRN_26_05_2026_B2_TJRN_ETAPAS_DO_CONCURSO_CABECA.mp3,CABECA,OK,5.13,TJRN,cartórios.,,,-120.0,-24.3,0,0,ok
BOLETIM_RADIO_TJRN_26_05_2026_B3_TJRN_MANTEM_CONDENACAO_APODI_NJUD_1930_CABECA.mp3,CABECA,OK,8.15,Justiça,provial.,,,-120.0,-32.8,0,0,ok
