arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db,ffmpeg_sil_inicio_ms,ffmpeg_sil_fim_ms,ffmpeg_status
BOLETIM_RADIO_TJRN_02_02_2026_B1_TJRN_ACAO_IMPROBIDADE_SERVIDOR_DETRAN_CABECA.mp3,CABECA,OK,7.35,Justiça,Escola.,,,-120.0,-32.9,0,0,ok
BOLETIM_RADIO_TJRN_02_02_2026_B2_TJRN_CRESCIMENTO_CAMARA_CRIMINAL__CABECA.mp3,CABECA,CORTADO,61.01,Com,Norte.,"energia de fala na borda final (-17.5 dBFS, piso -30.6); inicia com conectivo isolado: 'Com'",,-120.0,-17.5,0,0,ok
BOLETIM_RADIO_TJRN_02_02_2026_B6_TJRN_CONDENA_HOMEM_MAUS_TRATOS_CABECA.mp3,CABECA,CORTADO,4.62,Justiça,Portugal.,"energia de fala na borda final (-13.2 dBFS, piso -33.8)",,-47.6,-13.2,0,0,ok
BOLETIM_RADIO_TJRN_02_02_2026_B8_TJRN_INCONSTITUCIONALIDADE_LEI_ENEM__CABECA.mp3,CABECA,OK,7.94,declarada,vestibulares.,,,-63.9,-30.4,0,0,ok
BOLETIM_RADIO_TJRN_03_02_2026_B2_TJRN_IA_ROTINAS_PRESTACAO_JURISDICIONAL_CABECA.mp3,CABECA,OK,6.74,tecnologias,ano.,,,-34.0,-26.7,0,0,ok
BOLETIM_RADIO_TJRN_03_02_2026_B3_VARA_CRIMINAL_ESTAGIO__CABECA.mp3,CABECA,OK,7.8,de,natal.,,,-31.7,-36.7,0,0,ok
BOLETIM_RADIO_TJRN_03_02_2026_B4_TJRN_COMARCA_EXTREMOZ_DEMANDAS_JUDICIAIS__CABECA.mp3,CABECA,OK,7.33,"Cordo,",extremos.,,,-66.2,-56.9,0,0,ok
BOLETIM_RADIO_TJRN_03_02_2026_B5_TRERN_CANAL_RECEBIMENTO_DENUNCIAS__CABECA.mp3,CABECA,OK,6.43,Crimes,eleitoral.,,,-26.6,-46.3,0,0,ok
BOLETIM_RADIO_TJRN_04_02_2026_B1_CONVOCACAO_JUIZES_LEIGOS_JUIZADOS_CABECA.mp3,CABECA,OK,7.33,profissionais,estado.,,,-24.9,-46.0,0,0,ok
BOLETIM_RADIO_TJRN_04_02_2026_B2_DOACAO_LIVROS_SISTEMA_PRISIONAL_CABECA.mp3,CABECA,OK,6.48,Pontos,capital.,,,-34.1,-58.9,0,0,ok
BOLETIM_RADIO_TJRN_04_02_2026_B3_MANUAL_DE_GESTAO_PROCESSUAL_CABECA.mp3,CABECA,OK,6.08,da,rápido.,,,-31.5,-45.1,0,0,ok
BOLETIM_RADIO_TJRN_04_02_2026_B5_CONDENACAO_ROUBO_POLICIAL_MACAIBA_CABECA.mp3,CABECA,OK,6.6,Dois,prisão.,,,-32.1,-48.4,0,0,ok
BOLETIM_RADIO_TJRN_05_02_2026_B2_TJRN_MORADOR_MOSSORO_TRATAMENTO_MEDICO__CABECA.mp3,CABECA,OK,5.68,realizar,quilômetros.,,,-43.8,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_05_02_2026_B3_TJRN_CONDENA_EX_ASSESSORA_IMPROBIDADE_CABECA.mp3,CABECA,OK,11.97,Uma,Fantasma.,,,-28.0,-30.9,0,0,ok
BOLETIM_RADIO_TJRN_05_02_2026_B4_TJRN_HOMEM_CONDENADO_ROUBO__CABECA.mp3,CABECA,CORTADO,1.86,A,homem,inicia com conectivo isolado: 'A'; CABEÇA muito curta (1.9s) — provável corte no início da manchete,,-28.0,-18.3,0,0,ok
BOLETIM_RADIO_TJRN_05_02_2026_B5_TJRN_REDE_SOCIAL_CONTA_PERFIL_CABECA.mp3,CABECA,OK,7.44,Foi,explicação.,,,-44.1,-60.8,0,0,ok
BOLETIM_RADIO_TJRN_06_02_2026_B10_TJRN_EMPRESA_TRANSPORTE_CONDENADA_CABECA.mp3,CABECA,OK,9.37,Uma,ônibus.,,,-29.3,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_06_02_2026_B6_ESMARN_CURSO_INTELIGENCIA_ARTIFICIAL__CABECA.mp3,CABECA,OK,11.26,Uma,servidores.,,,-31.7,-30.7,0,0,ok
BOLETIM_RADIO_TJRN_06_02_2026_B7_TJRN_IDOSA_CAPITALIZACAO__CABECA.mp3,CABECA,OK,7.15,devido,estado.,,,-40.4,-53.9,0,0,ok
BOLETIM_RADIO_TJRN_06_02_2026_B9_TJRN_CUSTO_OBRAS_ACESSIBILIDADE_CABECA.mp3,CABECA,OK,4.38,Custo,Estado.,,,-30.3,-21.2,0,0,ok
BOLETIM_RADIO_TJRN_09_02_2026_B10_REMUNERACAO_PM_CURSO_FORMACAO_CABECA.mp3,CABECA,OK,5.85,"PM,",remuneração.,,,-120.0,-32.3,0,0,ok
BOLETIM_RADIO_TJRN_09_02_2026_B1_TJRN_BALANCO_ACOES_EXECUTADAS_CABECA.mp3,CABECA,OK,6.82,A,2025.,,,-57.2,-39.1,0,0,ok
BOLETIM_RADIO_TJRN_09_02_2026_B2_MPRN_COMBATE_POLUICAO_SONORA__CABECA.mp3,CABECA,OK,6.2,O,Natal.,,,-41.0,-38.4,0,0,ok
BOLETIM_RADIO_TJRN_09_02_2026_B3_REGULARIZACAO_CUSTAS_JUDICIAIS_CABECA.mp3,CABECA,OK,15.51,O,Eletrônico.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_10_02_2026_B1_TJRN_CONDENA_MUNICIPIO_ALUGUEIS_ATRASADOS__CABECA.mp3,CABECA,OK,13.71,A,locação.,,,-46.0,-34.7,0,0,ok
BOLETIM_RADIO_TJRN_10_02_2026_B2_TJRN_RISCO_DESABAMENTO_MURO_NATAL_CABECA.mp3,CABECA,OK,6.48,O,vizinha.,,,-120.0,-40.2,0,0,ok
BOLETIM_RADIO_TJRN_10_02_2026_B6_TJRN_ORIENTA_PARTICIPACAO_CRIANCAS__CABECA.mp3,CABECA,OK,5.45,a,macaíba,,,-120.0,-20.4,0,0,ok
BOLETIM_RADIO_TJRN_10_02_2026_B7_TJRN_ALERTA_SOBRE_SMS_FALSO_CABECA.mp3,CABECA,OK,8.4,Motivou,Norte.,,,-120.0,-42.7,0,0,ok
BOLETIM_RADIO_TJRN_11_02_2026_B10_TRTRN_CONCLUI_EXPEDICAO_PRECATORIOS__CABECA.mp3,CABECA,OK,7.65,440,planejado.,,,-39.6,-55.8,0,0,ok
BOLETIM_RADIO_TJRN_11_02_2026_B7_TJRN_DEFINIDAS_REGRAS_AREIA_BRANCA__CABECA.mp3,CABECA,OK,8.06,As,vigor.,,,-28.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_11_02_2026_B8_MPRN_CRIACAO_PROTOCOLO_UNIDADES_SOCIOEDUCATIVAS_CABECA.mp3,CABECA,OK,8.4,O,transporte.,,,-30.6,-45.3,0,0,ok
BOLETIM_RADIO_TJRN_11_02_2026_B9_ALRN_GOVERNADORA_LEITURA_ANUAL__CABECA.mp3,CABECA,OK,7.07,do,ano.,,,-35.6,-50.7,0,0,ok
BOLETIM_RADIO_TJRN_12_02_2026_B2_TJRN_CAMARAS_PRODUTIVIDADE_CABECA.mp3,CABECA,OK,3.03,Câmaras,aumentam.,,,-28.0,-17.0,0,0,ok
BOLETIM_RADIO_TJRN_12_02_2026_B3_TJRN_PLANO_SAUDE_TRATAMENTO_CRIANCA__CABECA.mp3,CABECA,OK,4.38,Plano,criança.,,,-29.1,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_12_02_2026_B4_TJRN_PLANO_COMPROVAR_MENSALIDADE_CABECA.mp3,CABECA,OK,4.41,Planos,mensalidade.,,,-27.4,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_12_02_2026_B5_TJRN_DECISAO_DEFINE_INCIDENCIA_JUROS__CABECA.mp3,CABECA,CORTADO,2.85,que,RPV,inicia com conectivo isolado: 'que',,-42.9,-38.3,0,0,ok
BOLETIM_RADIO_TJRN_13_02_2026_B1_TJRN_CARRO_DEFEITO_APOS_COMPRA__CABECA.mp3,CABECA,OK,5.62,O,consumidor.,,,-24.5,-32.6,0,0,ok
BOLETIM_RADIO_TJRN_13_02_2026_B3_TJRN_CEARA_MIRIM_SUSPENDE_EXPEDIENTE__CABECA.mp3,CABECA,OK,15.76,O,andamento.,,,-48.7,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_13_02_2026_B7_CONTRATO_VERBAL_IMOVEL_CABECA.mp3,CABECA,OK,15.8,Representado,"Civil,",,,-58.5,-73.4,0,0,ok
BOLETIM_RADIO_TJRN_13_02_2026_B9_TJRN_REGRAS_PARTICIPACAO_CRIANCAS__CABECA.mp3,CABECA,OK,7.57,força,Potiguar.,,,-42.4,-37.9,0,0,ok
BOLETIM_RADIO_TJRN_19_02_2026_B10_INDENIZACAO_CANCELAMENTO_VOO_CABECA.mp3,CABECA,OK,4.02,Passageiro,voo,,,-28.1,-21.1,0,0,ok
BOLETIM_RADIO_TJRN_19_02_2026_B5_JURI_POPULAR_TENTATIVA_HOMICIDIO_CABECA.mp3,CABECA,OK,5.33,caso,comercial.,,,-66.2,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_19_02_2026_B6_REATIVACAO_CONTA_MOTORISTA_CABECA.mp3,CABECA,OK,5.8,Justiça,indevidamente.,,,-28.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_19_02_2026_B8_CONDENACAO_ROUBO_COM_ARMA_CABECA.mp3,CABECA,OK,7.18,Justiça,natal.,,,-29.1,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_20_02_2026_B10_MPRN_CAPACITACAO_PROMOCAO_GESTAO_MUNICIPAL__CABECA.mp3,CABECA,OK,5.03,promove,municipal.,,,-31.0,-120.0,0,0,ok
