arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db,ffmpeg_sil_inicio_ms,ffmpeg_sil_fim_ms,ffmpeg_status
BOLETIM_RADIO_TJRN_07_01_2026_B10_CAERN_DEVE_PAGAR_DANOS_MORAIS_CABECA.mp3,CABECA,OK,7.49,condenada,dias.,,,-27.9,-31.3,0,0,ok
BOLETIM_RADIO_TJRN_07_01_2026_B2_INDENIZACAO_FALHA_AIRBAGS_CABECA.mp3,CABECA,OK,3.62,falhas,indemnizações.,,,-47.7,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_07_01_2026_B3_JURI_POPULAR_GRUPO_DE_EXTERMINIO_CABECA.mp3,CABECA,OK,4.88,Integrantes,popular.,,,-29.7,-33.2,0,0,ok
BOLETIM_RADIO_TJRN_07_01_2026_B7_EMPRESA_DEVE_ENTREGAR_BRINDE_CABECA.mp3,CABECA,OK,4.29,Empresa,publicitária.,,,-30.3,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_08_01_2026_B10_CHAPA_ELEICOES_ESCOLARES_LAGOA_NOVA_CABECA.mp3,CABECA,OK,6.67,Justiça,Nova.,,,-120.0,-33.3,0,0,ok
BOLETIM_RADIO_TJRN_08_01_2026_B2_TRTRN_RETOMA_ATIVIDADES_CABECA.mp3,CABECA,OK,5.66,TRT,7.,,,-120.0,-31.1,0,0,ok
BOLETIM_RADIO_TJRN_08_01_2026_B7_NULIDADE_CONTRATO_PREFEITURA_MONTE_ALEGRE_CABECA.mp3,CABECA,OK,6.79,Justiça,Educacional.,,,-120.0,-19.9,0,0,ok
BOLETIM_RADIO_TJRN_08_01_2026_B9_HOMEM_CONDENADO_VIOLENCIA_PSICOLOGICA_CABECA.mp3,CABECA,OK,7.42,Homem,Pedro.,,,-120.0,-28.8,0,0,ok
BOLETIM_RADIO_TJRN_09_01_2026_B10_TJRN_AGRESSOR_PAIS_INDENIZAR_ATAQUE_FISICO__CABECA.mp3,CABECA,OK,4.24,indenizar,físico.,,,-38.3,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_09_01_2026_B5_PERICIA_DOCUMENTO_DIGITAL_CONSUMIDOR__CABECA.mp3,CABECA,OK,3.81,Em,consumidor.,,,-32.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_09_01_2026_B8_TJRN_EXCLUSAO_EMPRESA_LICITACAO__CABECA.mp3,CABECA,OK,5.95,em,formalidade.,,,-47.5,-35.3,0,0,ok
BOLETIM_RADIO_TJRN_09_01_2026_B9_TJRN_JUSTICA_PROIBE_COSERN_AREZ_CABECA.mp3,CABECA,OK,2.65,Coserne,energia.,,,-26.1,-39.1,0,0,ok
BOLETIM_RADIO_TJRN_12_01_2026_B3_TJRN_PLANO_SAUDE_TEA_CRIANCA_CABECA.mp3,CABECA,OK,4.99,ter,credenciada.,,,-32.5,-23.0,0,0,ok
