arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db,ffmpeg_sil_inicio_ms,ffmpeg_sil_fim_ms,ffmpeg_status
BOLETIM_RADIO_TJRN_01_06_2026_B10_TJRN_CAMPANHA_MES_PROTEGIDA_CABECA.mp3,CABECA,OK,5.54,Rejata,juvenil.,,,-120.0,-13.8,0,0,ok
BOLETIM_RADIO_TJRN_01_06_2026_B1_TJRN_CONSUMIDORA_INDENIZADA_PARTO__CABECA.mp3,CABECA,OK,7.03,Consumidora,urgência.,,,-120.0,-21.2,0,0,ok
BOLETIM_RADIO_TJRN_01_06_2026_B2_TJRN_PERMISSAO_USO_IMOVEL_CABECA.mp3,CABECA,OK,3.16,Permissão,definitiva.,,,-74.7,-22.0,0,0,ok
BOLETIM_RADIO_TJRN_01_06_2026_B3_TJRN_PLANO_SAUDE_FORNECER_CIRURGIA_CABECA.mp3,CABECA,OK,7.0,Justiça,cardíaco.,,,-120.0,-30.1,0,0,ok
BOLETIM_RADIO_TJRN_02_06_2026_B10_TJRN_JUIZADO_NATAL_ESTAGIO__CABECA.mp3,CABECA,OK,7.15,Terceiro,direito.,,,-74.7,-24.2,0,0,ok
BOLETIM_RADIO_TJRN_02_06_2026_B1_TJRN_ARTIGO_REPOJURN_CABECA.mp3,CABECA,OK,6.57,O,digital.,,,-51.1,-21.6,0,0,ok
BOLETIM_RADIO_TJRN_02_06_2026_B2_TJRN_SUSPENDE_EDITAIS__CABECA.mp3,CABECA,OK,6.83,Justiça,Natal.,,,-46.9,-22.2,0,0,ok
BOLETIM_RADIO_TJRN_02_06_2026_B3_TJRN_SAAE_EXTREMOZ_INDENIZAR_CABECA.mp3,CABECA,OK,7.17,O,essencial.,,,-120.0,-33.2,0,0,ok
BOLETIM_RADIO_TJRN_03_06_2026_B10_TRTRN_PUBLICACAO_INCIDENTES_DADOS_PESSOAIS__CABECA.mp3,CABECA,OK,6.87,RT,pessoais.,,,-53.0,-30.1,0,0,ok
BOLETIM_RADIO_TJRN_03_06_2026_B1_TJRN_HOMEM_CONDENADO_COLISAO_CARRO_CABECA.mp3,CABECA,OK,8.43,O,Natal.,,,-47.6,-33.2,0,0,ok
BOLETIM_RADIO_TJRN_03_06_2026_B2_TJRN_CASAMENTO_COMUNITARIO_TOUROS_CABECA.mp3,CABECA,CORTADO,4.92,Casamento,Taurus.,"energia de fala na borda final (-19.2 dBFS, piso -33.1)",,-42.0,-19.2,0,0,ok
BOLETIM_RADIO_TJRN_03_06_2026_B3_TJRN_RESULTADO_DEFINITIVO_HETEROIDENTIFICACAO__CABECA.mp3,CABECA,OK,5.51,DJRN,ENAR.,,,-52.9,-22.1,0,0,ok
BOLETIM_RADIO_TJRN_08_06_2026_B10_MPRN_MULTIRAO_EXAMES_CNH (1)_CABECA.mp3,CABECA,OK,4.46,MPRN,Moçoró.,,,-120.0,-66.2,0,0,ok
BOLETIM_RADIO_TJRN_08_06_2026_B10_MPRN_MULTIRAO_EXAMES_CNH (2)_CABECA.mp3,CABECA,OK,4.51,MPRN,Moçoró.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_08_06_2026_B10_MPRN_MULTIRAO_EXAMES_CNH_CABECA.mp3,CABECA,OK,4.35,MPRN,Moçoró.,,,-84.3,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_08_06_2026_B11_MPRN_PROJETO_ADOCAO_E_LEGAL (1)_CABECA.mp3,CABECA,OK,4.96,MPRN,oeste.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_09_06_2026_B10_DPERN_DEFENSORES_MIRINS_ (1)_CABECA.mp3,CABECA,OK,8.48,DTRN,lúdica.,,,-90.3,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_09_06_2026_B10_DPERN_DEFENSORES_MIRINS_ (2)_CABECA.mp3,CABECA,OK,9.18,DPRN,lúdica.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_09_06_2026_B10_DPERN_DEFENSORES_MIRINS__CABECA.mp3,CABECA,OK,8.56,DPRN,lúdica.,,,-120.0,-66.2,0,0,ok
BOLETIM_RADIO_TJRN_09_06_2026_B11_MPRN_EVENTO_AGENTES_SEGURANCA_ (1)_CABECA.mp3,CABECA,OK,6.97,MPRN,vulneráveis.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_10_06_2026_B10_TRTRN_REUNIAO_NEGOCIACAO_URBANA_ (1)_CABECA.mp3,CABECA,OK,6.2,Sejus,Urbana.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_10_06_2026_B10_TRTRN_REUNIAO_NEGOCIACAO_URBANA__CABECA.mp3,CABECA,OK,6.17,Sejus,Urbana.,,,-80.8,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_10_06_2026_B11_DPERN_ACAO_COLETIVA_CONCURSO_PM (1)_CABECA.mp3,CABECA,OK,2.64,após,Pública.,,,-120.0,-31.4,0,0,ok
BOLETIM_RADIO_TJRN_10_06_2026_B11_DPERN_ACAO_COLETIVA_CONCURSO_PM (2)_CABECA.mp3,CABECA,OK,8.92,Após,quilombolas.,,,-120.0,-90.3,0,0,ok
BOLETIM_RADIO_TJRN_11_06_2026_B10_DPERN_GARANTE_DIREITOS_CRIANCA_ (1)_CABECA.mp3,CABECA,OK,6.7,DPRN,auxiliar.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_11_06_2026_B10_DPERN_GARANTE_DIREITOS_CRIANCA_ (2)_CABECA.mp3,CABECA,OK,6.46,DPRN,auxiliar.,,,-120.0,-50.0,0,0,ok
BOLETIM_RADIO_TJRN_11_06_2026_B10_DPERN_GARANTE_DIREITOS_CRIANCA__CABECA.mp3,CABECA,OK,6.7,DPRN,auxiliar.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_11_06_2026_B11_OABRN_INAUGURACAO_SALA_CURRAIS_NOVOS_ (1)_CABECA.mp3,CABECA,CORTADO,0.57,UAB.,UAB.,CABEÇA muito curta (0.6s) — provável corte no início da manchete,,-84.3,-33.4,0,0,ok
BOLETIM_RADIO_TJRN_12_06_2026_B10_TRT_RN_VISITA_CAIXA_ECONOMICA_ (1)_CABECA.mp3,CABECA,OK,5.02,TRTRN,Federal.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_12_06_2026_B10_TRT_RN_VISITA_CAIXA_ECONOMICA_ (2)_CABECA.mp3,CABECA,OK,4.99,TRTRN,Federal.,,,-84.3,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_12_06_2026_B10_TRT_RN_VISITA_CAIXA_ECONOMICA__CABECA.mp3,CABECA,OK,5.02,TRTRN,Federal.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_12_06_2026_B11_TRTRN_ELETRICISTA_ACIDENTADO_ (1)_CABECA.mp3,CABECA,OK,4.89,Eletricista,indenização.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_15_06_2026_B10_OFICIO_UNICO_FERNANDO_PEDROZA (1)_CABECA.mp3,CABECA,OK,5.35,Com,Pedrosa.,,,-84.3,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_15_06_2026_B10_OFICIO_UNICO_FERNANDO_PEDROZA (2)_CABECA.mp3,CABECA,OK,5.61,Comarca,Pedrosa.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_15_06_2026_B10_OFICIO_UNICO_FERNANDO_PEDROZA_CABECA.mp3,CABECA,OK,5.45,Com,Pedrosa.,,,-120.0,-60.2,0,0,ok
BOLETIM_RADIO_TJRN_15_06_2026_B11_HOMEM_CONDENADO_POR_DIFAMAR_TIA (1)_CABECA.mp3,CABECA,OK,4.71,Justiça,áudios.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_16_06_2026_B10_MPRN_ACORDO_GARANTIR_ACESSIBILIDADE_ESCOLAS__CABECA.mp3,CABECA,OK,4.88,MPRN,apodir.,,,-120.0,-90.3,0,0,ok
BOLETIM_RADIO_TJRN_16_06_2026_B11_TJRN_CONSULTA_PUBLICA_2027_CABECA.mp3,CABECA,OK,6.48,TJRN,2027.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_16_06_2026_B1_VISITA_SOCIAL_APENADO (1)_CABECA.mp3,CABECA,OK,5.99,Pleno,administrativa.,,,-80.8,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_16_06_2026_B1_VISITA_SOCIAL_APENADO (2)_CABECA.mp3,CABECA,OK,6.82,Pleno,administrativa.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_17_06_2026_B10_SELECAO_TABELIAO_FRUTOSO_GOMES_CABECA.mp3,CABECA,OK,5.36,Com,gomes.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_17_06_2026_B11_SELECAO_ESTAGIO_JUIZADOS_ADM_CABECA.mp3,CABECA,OK,5.74,Juizados,administração.,,,-84.3,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_17_06_2026_B1_RESTITUICAO_POR_FALHA_EM_CANCELAMENTO (1)_CABECA.mp3,CABECA,OK,6.9,Empresa,online.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_17_06_2026_B1_RESTITUICAO_POR_FALHA_EM_CANCELAMENTO_CABECA.mp3,CABECA,OK,6.48,Empresa,online.,,,-120.0,-71.2,0,0,ok
BOLETIM_RADIO_TJRN_18_06_2026_B11_TRTRN_EMPRESA_CONDENADA_ASSEDIO_SEXUAL__CABECA.mp3,CABECA,OK,5.24,Empresa,empregado.,,,-84.3,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_18_06_2026_B1_SEMANA_JUIZADOS_PALESTRA_CABECA.mp3,CABECA,OK,8.12,TJRN,Especiais.,,,-120.0,-120.0,0,0,ok
