arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db,ffmpeg_sil_inicio_ms,ffmpeg_sil_fim_ms,ffmpeg_status
BOLETIM_RADIO_TJRN_04_05_2026_B1_TJRN_VISITA_ALUNOS_UFRN__CABECA.mp3,CABECA,OK,13.05,O,Estado.,,,-71.2,-45.0,0,0,ok
BOLETIM_RADIO_TJRN_04_05_2026_B5_RESTITUICAO_FALHA_PRODUTO_CABECA.mp3,CABECA,OK,13.4,O,pintor.,,,-72.2,-50.1,0,0,ok
BOLETIM_RADIO_TJRN_04_05_2026_B6_MAIO_TECNOLOGICO_CABECA.mp3,CABECA,OK,7.16,O,tecnológico.,,,-47.3,-44.4,0,0,ok
BOLETIM_RADIO_TJRN_04_05_2026_B7_IPTU_NATAL_TAXA_SELIC_CABECA.mp3,CABECA,OK,9.55,A,atualização.,,,-52.1,-54.5,0,0,ok
BOLETIM_RADIO_TJRN_05_05_2026_B2_POLICIAL_MILITAR_CONDENADO_TRIBUNAL_JURI_CABECA.mp3,CABECA,OK,6.88,O,prisão.,,,-84.3,-21.8,0,0,ok
BOLETIM_RADIO_TJRN_05_05_2026_B3_INDENIZACAO_ALAGAMENTO_CHUVAS_CABECA.mp3,CABECA,OK,10.32,O,imóvel.,,,-67.4,-45.9,0,0,ok
BOLETIM_RADIO_TJRN_05_05_2026_B4_CONDENACAO_ENTREGA_ERRADA_CABECA.mp3,CABECA,OK,11.01,A,ação.,,,-120.0,-51.0,0,0,ok
BOLETIM_RADIO_TJRN_05_05_2026_B6_DADOS_PORTAL_TRANSPARENCIA_CABECA.mp3,CABECA,OK,6.42,Justiça,transparência.,,,-120.0,-19.8,0,0,ok
BOLETIM_RADIO_TJRN_06_05_2026_B1_RESTRICAO_MATERIAL_CIRURGICO_CABECA.mp3,CABECA,OK,16.42,A,bilenficiário.,,,-120.0,-55.2,0,0,ok
BOLETIM_RADIO_TJRN_06_05_2026_B5_TEMPO_MINIMO_CARTEIRA_ESTUDANTES_CABECA.mp3,CABECA,OK,11.26,A,estudantes.,,,-50.2,-35.2,0,0,ok
BOLETIM_RADIO_TJRN_06_05_2026_B8_PROCURADORIA_MULHER_PARNAMIRIM_CABECA.mp3,CABECA,OK,9.87,A,Parnamiri.,,,-45.4,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_06_05_2026_B9_MPRN_RECOMENDA_RECONSTRUCAO_RUAS_CABECA.mp3,CABECA,CORTADO,2.48,construção,Sumarei.,CABEÇA muito curta (2.5s) — provável corte no início da manchete,,-33.7,-16.6,0,0,ok
BOLETIM_RADIO_TJRN_07_05_2026_B1_INDENIZACAO_PROFESSORA_REMUNERACAO_CABECA.mp3,CABECA,OK,12.15,O,modernidade.,,,-44.2,-53.3,0,0,ok
BOLETIM_RADIO_TJRN_07_05_2026_B2_JURI_ACUSADO_DISPARO_BRIGAS_CABECA.mp3,CABECA,OK,12.37,A,armamento.,,,-71.2,-49.9,0,0,ok
BOLETIM_RADIO_TJRN_07_05_2026_B7_EBOOK_SOCIOEDUCACAO_CABECA.mp3,CABECA,OK,6.9,O,educativo.,,,-43.5,-26.5,0,0,ok
BOLETIM_RADIO_TJRN_07_05_2026_B9_MPRN_RECOMENDACAO_CORRECAO_PRISIONAL_FEMININO__CABECA.mp3,CABECA,OK,12.35,A,Negócio.,,,-42.6,-56.5,0,0,ok
BOLETIM_RADIO_TJRN_08_05_2026_B10_TRTRN_REGISTRO_POSTO_SAUDE_CABECA.mp3,CABECA,OK,7.35,A,ambientais.,,,-41.9,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_08_05_2026_B1_INDENIZACAO_TAXAS_INDEVIDAS_CABECA.mp3,CABECA,OK,10.91,O,consumidora.,,,-52.1,-31.3,0,0,ok
BOLETIM_RADIO_TJRN_08_05_2026_B2_USO_INDEVIDO_JAZIGO_CABECA.mp3,CABECA,OK,6.38,O,familiares.,,,-120.0,-15.7,0,0,ok
BOLETIM_RADIO_TJRN_08_05_2026_B5_FISCALIZACAO_CONDOMINIO_CABECA.mp3,CABECA,OK,6.89,Se,condomínio.,,,-120.0,-32.6,0,0,ok
BOLETIM_RADIO_TJRN_11_05_2026_B2_TJRN_FORTALECE_PRESERVACAO_JUSTICA__CABECA.mp3,CABECA,OK,4.51,A,Norte,,,-120.0,-35.8,0,0,ok
BOLETIM_RADIO_TJRN_11_05_2026_B3_TJRN_CEARA_MIRIM_ESTAGIO_CABECA.mp3,CABECA,OK,7.93,A,Comarca.,,,-120.0,-47.6,0,0,ok
BOLETIM_RADIO_TJRN_11_05_2026_B4_TJRN_RECONHECE_FRAUDE_TRANSACOES_DIGITAIS_CABECA.mp3,CABECA,OK,14.25,O,morais.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_11_05_2026_B7_TJRN_CANGUARETAMA_ESTAGIO_POS_CABECA.mp3,CABECA,OK,7.64,A,direito.,,,-45.2,-90.3,0,0,ok
BOLETIM_RADIO_TJRN_12_05_2026_B2_TJRN_EMPRESA_RESTABELECE_AGUA__CABECA.mp3,CABECA,OK,15.69,O,comarca.,,,-46.4,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_12_05_2026_B4_TJRN_VARA_EXECUCAO_FISCAL_RESULTADO_ESTAGIO__CABECA.mp3,CABECA,OK,10.86,A,direito.,,,-62.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_12_05_2026_B5_TJRN_FALHA_SERVICO_RASTREAMENTO_CABECA.mp3,CABECA,OK,4.71,O,Parnamirim.,,,-50.4,-18.4,0,0,ok
BOLETIM_RADIO_TJRN_12_05_2026_B6_TJRN_SERVIDOR_SOFRE_ASSEDIO_CABECA.mp3,CABECA,OK,14.09,No,humilhante.,,,-120.0,-46.9,0,0,ok
BOLETIM_RADIO_TJRN_13_05_2026_B1_INDENIZACAO_DEBITO_IPTU_CABECA.mp3,CABECA,OK,14.71,Primeiro,urbana.,,,-120.0,-84.3,0,0,ok
BOLETIM_RADIO_TJRN_13_05_2026_B2_FATURAMENTO_CONTA_ENERGIA_CABECA.mp3,CABECA,OK,14.9,A,RE.,,,-56.2,-69.5,0,0,ok
BOLETIM_RADIO_TJRN_13_05_2026_B6_PESQUISA_VIOLENCIA_DOMESTICA_RN_CABECA.mp3,CABECA,OK,13.28,A,Norte.,,,-54.1,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_13_05_2026_B9_TJ_ACADEMICO_CABECA.mp3,CABECA,OK,11.22,Na,Pleno.,,,-41.8,-69.5,0,0,ok
BOLETIM_RADIO_TJRN_14_05_2026_B3_RESSARCIMENTO_CONSERTO_VEICULO_CABECA.mp3,CABECA,OK,6.4,Consumidura,veículo.,,,-120.0,-23.5,0,0,ok
BOLETIM_RADIO_TJRN_14_05_2026_B5_INDENIZACAO_PERDA_VOO_CABECA.mp3,CABECA,OK,7.89,Caso,hieriches.,,,-120.0,-31.4,0,0,ok
BOLETIM_RADIO_TJRN_14_05_2026_B6_RESPONSAVEL_INTERINO_MESSIAS_TARGINO_CABECA.mp3,CABECA,OK,6.46,Vara,Targinho.,,,-34.8,-30.5,0,0,ok
BOLETIM_RADIO_TJRN_14_05_2026_B7_ESTAGIO_EXECUCAO_TRIBUTARIA_CABECA.mp3,CABECA,OK,9.56,A,direito.,,,-45.6,-53.2,0,0,ok
BOLETIM_RADIO_TJRN_15_05_2026_B10_TRT_SEMANA_COMBATE_ASSEDIO_CABECA.mp3,CABECA,SEM_FALA,0.2,,,nenhuma palavra transcrita,,,,,,
BOLETIM_RADIO_TJRN_15_05_2026_B2_CANDIDATO_APTO_HETEROIDENTIFICACAO_CABECA.mp3,CABECA,OK,12.13,Segundo,Norte.,,,-50.5,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_15_05_2026_B5_AUDIENCIA_MEDIACAO_EXTREMOZ_CABECA.mp3,CABECA,OK,6.49,Justiça,extremos.,,,-120.0,-31.6,0,0,ok
BOLETIM_RADIO_TJRN_15_05_2026_B9_TRT_DENUNCIAS_ASSEDIO_MORAL_CABECA.mp3,CABECA,OK,12.58,Robranças,promoção.,,,-41.0,-45.0,0,0,ok
BOLETIM_RADIO_TJRN_18_05_2026_B10_DPERN_PROCESSO_SELETIVO_EXTREMOZ_CABECA.mp3,CABECA,OK,8.42,A,social.,,,-120.0,-41.3,0,0,ok
BOLETIM_RADIO_TJRN_18_05_2026_B1_OBRIGATORIEDADE_AUTENTICACAO_MULTIFATOR_CABECA.mp3,CABECA,OK,16.26,A,login.,,,-67.4,-38.0,0,0,ok
BOLETIM_RADIO_TJRN_18_05_2026_B2_MEMBRO_SUPLENTE_JURISTA_CABECA.mp3,CABECA,SEM_FALA,1.38,,,nenhuma palavra transcrita,,,,,,
BOLETIM_RADIO_TJRN_18_05_2026_B4_INDENIZACAO_FURTO_MOTOCICLETA_CABECA.mp3,CABECA,OK,14.65,Uma,motocicleta.,,,-45.2,-78.3,0,0,ok
BOLETIM_RADIO_TJRN_19_05_2026_B1_TJRN_COMISSAO_RESULTADO_FINAL_ENAM__CABECA.mp3,CABECA,OK,17.47,A,Eletrônico.,,,-120.0,-40.0,0,0,ok
BOLETIM_RADIO_TJRN_19_05_2026_B3_TJRN_JUSTICRN_CABECA.mp3,CABECA,OK,10.4,No,Estadual.,,,-38.4,-30.7,0,0,ok
BOLETIM_RADIO_TJRN_19_05_2026_B5_TJRN_RECONHECE_FALHA_REDE_SOCIAL__CABECA.mp3,CABECA,OK,11.09,O,usuária.,,,-41.2,-62.7,0,0,ok
BOLETIM_RADIO_TJRN_19_05_2026_B8_TJRN_IDOSO_INDENIZADO_DISPOSITIVO_COM_DEFEITO__CABECA.mp3,CABECA,OK,7.41,O,SSD.,,,-60.5,-18.9,0,0,ok
BOLETIM_RADIO_TJRN_20_05_2026_B6_CONDENACAO_VENDEDOR_CARRO_CABECA.mp3,CABECA,OK,12.13,A,etária.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_20_05_2026_B7_MPRN_MEDIDAS_PRESERVACAO_PATRIMONIO_CABECA.mp3,CABECA,OK,6.59,O,cidade.,,,-42.1,-39.7,0,0,ok
BOLETIM_RADIO_TJRN_20_05_2026_B8_MPRN_VISITAS_MATERNIDADES_CABECA.mp3,CABECA,OK,8.77,O,cartórios.,,,-56.5,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_20_05_2026_B9_TRTRN_SEMANA_NACIONAL_CONCILIACAO__CABECA.mp3,CABECA,OK,12.09,Tudo,país.,,,-57.8,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_21_05_2026_B10_TRTRN_CARTILHA_RESPEITO_ASSEDIO_MORAL__CABECA.mp3,CABECA,CORTADO,2.8,Na,discriminação,inicia com conectivo isolado: 'Na',,-120.0,-53.7,0,0,ok
BOLETIM_RADIO_TJRN_21_05_2026_B7_TJRN_ESTAGIO_ESMARN__CABECA.mp3,CABECA,OK,15.67,A,estatística.,,,-120.0,-51.7,0,0,ok
BOLETIM_RADIO_TJRN_21_05_2026_B8_TJRN_LANCA_BIBLIOTECA_DIGITAL__CABECA.mp3,CABECA,SEM_FALA,0.2,,,nenhuma palavra transcrita,,,,,,
BOLETIM_RADIO_TJRN_21_05_2026_B9_OABRN_OBSERVATORIO_PUBLICIDADE_CABECA.mp3,CABECA,CORTADO,0.71,AWAB,AWAB,CABEÇA muito curta (0.7s) — provável corte no início da manchete,,-120.0,-36.6,0,0,ok
BOLETIM_RADIO_TJRN_22_05_2026_B10_TJRN_CAMARA_CRIMINAL_ANTECIPADA__CABECA.mp3,CABECA,OK,15.43,O,horas.,,,-120.0,-44.9,0,0,ok
BOLETIM_RADIO_TJRN_22_05_2026_B5_TJRN_OBITO_CRIANCA_MOSSORO_CABECA.mp3,CABECA,OK,4.25,Óbito,decisão.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_22_05_2026_B7_TJRN_MANTIDA_SEPARACAO_VALORES_INDENIZATORIOS__CABECA.mp3,CABECA,OK,12.0,A,indenização.,,,-120.0,-41.7,0,0,ok
BOLETIM_RADIO_TJRN_22_05_2026_B9_TJRN_COSERN_CONDENADA_OSCILACOES__CABECA.mp3,CABECA,OK,7.48,A,elétrica.,,,-120.0,-50.3,0,0,ok
BOLETIM_RADIO_TJRN_25_05_2026_B10_DPERN_GARANTE_LIMITE_COPARTICIPACAO__CABECA.mp3,CABECA,OK,8.42,Pergarante,TA.,,,-51.8,-31.6,0,0,ok
BOLETIM_RADIO_TJRN_25_05_2026_B7_TJRN_NOVA_BIBLIOTECA_TJRN__CABECA.mp3,CABECA,OK,8.01,Nova,judiciário.,,,-51.4,-29.6,0,0,ok
BOLETIM_RADIO_TJRN_25_05_2026_B8_TJRN_CURSO_ADOCAO__CABECA.mp3,CABECA,OK,7.76,TJRN,adoção.,,,-50.8,-33.5,0,0,ok
BOLETIM_RADIO_TJRN_25_05_2026_B9_TRTRN_EMPRESA_PAGARA_INDENIZACAO__CABECA.mp3,CABECA,OK,4.53,Empresa,empregada.,,,-51.4,-35.7,0,0,ok
BOLETIM_RADIO_TJRN_26_05_2026_B10_DPERN_REGULAMENTACAO_CANNABIS__CABECA.mp3,CABECA,OK,8.35,Defensoria,&D.,,,-51.6,-33.7,0,0,ok
BOLETIM_RADIO_TJRN_26_05_2026_B4_TJRN_VARA_FAMILIA_SELECAO__CABECA.mp3,CABECA,OK,4.93,Segunda,direito.,,,-51.0,-37.9,0,0,ok
BOLETIM_RADIO_TJRN_26_05_2026_B6_TJRN_PODCAST_IA_CIBERSEGURANCA__CABECA.mp3,CABECA,OK,4.75,Putcast,Coutiguar.,,,-50.8,-35.2,0,0,ok
BOLETIM_RADIO_TJRN_26_05_2026_B7_TJRN_PLANO_SAUDE_INDENIZA_GESTANTE__CABECA.mp3,CABECA,OK,6.29,Plano,Judicial.,,,-51.1,-35.0,0,0,ok
BOLETIM_RADIO_TJRN_27_05_2026_B10_MPRN_CONDENACAO_BANCO_COBRANCA_CABECA.mp3,CABECA,OK,7.52,MPRN,clientes.,,,-53.0,-29.8,0,0,ok
BOLETIM_RADIO_TJRN_27_05_2026_B5_TJRN_LEILAO_85_IMOVEIS__CABECA.mp3,CABECA,OK,4.54,TJRN,interior.,,,-51.5,-36.1,0,0,ok
BOLETIM_RADIO_TJRN_27_05_2026_B7_TJRN_CONSUMIDORA_INDENIZADA_CANCELAMENTO_VOO_CABECA.mp3,CABECA,OK,6.68,Consumidora,grau.,,,-51.6,-33.8,0,0,ok
BOLETIM_RADIO_TJRN_27_05_2026_B8_TJRN_BANCO_COMPROVA_USO_CARTAO_CABECA.mp3,CABECA,OK,4.53,Banco,descontos.,,,-52.4,-36.5,0,0,ok
BOLETIM_RADIO_TJRN_28_05_2026_B10_TRTRN_SEMANA_MEIO_AMBIENTE__CABECA.mp3,CABECA,OK,8.43,TRTRN,arborização.,,,-51.5,-30.4,0,0,ok
BOLETIM_RADIO_TJRN_28_05_2026_B7_TJRN_PLATAFORMA_PAGAMENTOS_BLOQUEIA_VALORES_CABECA.mp3,CABECA,OK,6.71,Plataforma,Parnamirim.,,,-51.6,-33.7,0,0,ok
BOLETIM_RADIO_TJRN_28_05_2026_B8_TJRN_MUNICIPIO_GARANTIR_CONSULTAS__CABECA.mp3,CABECA,OK,8.09,O,ITA.,,,-53.0,-30.6,0,0,ok
BOLETIM_RADIO_TJRN_28_05_2026_B9_TJRN_PLATAFORMA_APOSTA_CONDENADA__CABECA.mp3,CABECA,OK,4.95,Plataforma,contraditória.,,,-51.5,-36.5,0,0,ok
BOLETIM_RADIO_TJRN_29_05_2026_B5_TJRN_RESULTADO_RECURSOS_HETEROIDENTIFICACAO__CABECA.mp3,CABECA,OK,7.74,TJRN,ENAC.,,,-51.4,-29.7,0,0,ok
BOLETIM_RADIO_TJRN_29_05_2026_B6_TJRN_MAGISTRADOS_FONAJE_TRANSNACIONAL__CABECA.mp3,CABECA,OK,7.74,Magistrados,História.,,,-51.5,-29.7,0,0,ok
BOLETIM_RADIO_TJRN_29_05_2026_B7_OABRN_ALERTA_USO_INDEVIDO_ENTIDADE_CABECA.mp3,CABECA,OK,4.54,O,pesquisa.,,,-52.7,-36.1,0,0,ok
BOLETIM_RADIO_TJRN_29_05_2026_B8_TJRN_EVENTO_CHATJURIS_CABECA.mp3,CABECA,OK,11.69,TJRN,instâncias.,,,-52.4,-30.4,0,0,ok
BOLETIM_RADIO_TJRN_04_05_2026_B1_TJRN_VISITA_ALUNOS_UFRN__CORPO.mp3,CORPO,OK,30.93,Os,trajetória.,,,-120.0,-43.4,0,0,ok
BOLETIM_RADIO_TJRN_04_05_2026_B5_RESTITUICAO_FALHA_PRODUTO_CORPO.mp3,CORPO,OK,31.02,A,pintura.,,,-120.0,-32.8,0,0,ok
BOLETIM_RADIO_TJRN_04_05_2026_B6_MAIO_TECNOLOGICO_CORPO.mp3,CORPO,OK,40.78,Iniciativa,sistemas,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-49.8,0,0,ok
BOLETIM_RADIO_TJRN_04_05_2026_B7_IPTU_NATAL_TAXA_SELIC_CORPO.mp3,CORPO,OK,48.94,A,autor,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-26.1,0,0,ok
BOLETIM_RADIO_TJRN_05_05_2026_B2_POLICIAL_MILITAR_CONDENADO_TRIBUNAL_JURI_CORPO.mp3,CORPO,OK,26.56,pelo,julgada.,,,-20.7,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_05_05_2026_B3_INDENIZACAO_ALAGAMENTO_CHUVAS_CORPO.mp3,CORPO,OK,51.1,a,região.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_05_05_2026_B4_CONDENACAO_ENTREGA_ERRADA_CORPO.mp3,CORPO,OK,43.52,A,empresarial.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_05_05_2026_B6_DADOS_PORTAL_TRANSPARENCIA_CORPO.mp3,CORPO,OK,82.94,A,despesas.,,,-22.5,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_06_05_2026_B1_RESTRICAO_MATERIAL_CIRURGICO_CORPO.mp3,CORPO,OK,32.38,Uma,proporcionalidade.,,,-120.0,-41.6,0,0,ok
BOLETIM_RADIO_TJRN_06_05_2026_B5_TEMPO_MINIMO_CARTEIRA_ESTUDANTES_CORPO.mp3,CORPO,OK,30.59,A,arregrem.,,,-28.5,-37.5,0,0,ok
BOLETIM_RADIO_TJRN_06_05_2026_B8_PROCURADORIA_MULHER_PARNAMIRIM_CORPO.mp3,CORPO,OK,28.2,A,município.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_06_05_2026_B9_MPRN_RECOMENDA_RECONSTRUCAO_RUAS_CORPO.mp3,CORPO,OK,47.26,O,-Negreiros.,,,-22.4,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_07_05_2026_B1_INDENIZACAO_PROFESSORA_REMUNERACAO_CORPO.mp3,CORPO,OK,47.18,A,retroativas,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_07_05_2026_B2_JURI_ACUSADO_DISPARO_BRIGAS_CORPO.mp3,CORPO,OK,19.41,O,ameaça.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_07_05_2026_B7_EBOOK_SOCIOEDUCACAO_CORPO.mp3,CORPO,OK,88.79,que,resumida.,,,-22.6,-51.5,0,0,ok
