arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db,ffmpeg_sil_inicio_ms,ffmpeg_sil_fim_ms,ffmpeg_status
BOLETIM_RADIO_TJRN_02_03_2026_B1_TRERN_ADQUIRE_NOVAS_CADEIRAS__CABECA.mp3,CABECA,OK,4.85,Guiril,sede.,,,-33.3,-22.9,0,0,ok
BOLETIM_RADIO_TJRN_02_03_2026_B3_SUSPENSAO_DESCONTO_PENSAO_CABECA.mp3,CABECA,OK,5.25,Suspensão,decisão.,,,-120.0,-33.3,0,0,ok
BOLETIM_RADIO_TJRN_02_03_2026_B5_LICENCA_REMUNERADA_JOAO_CAMARA_CABECA.mp3,CABECA,OK,9.5,Justiça,social.,,,-120.0,-44.4,0,0,ok
BOLETIM_RADIO_TJRN_02_03_2026_B6_CONDENACAO_EXTRAVIO_BAGAGEM_CABECA.mp3,CABECA,OK,3.86,O,Ferros,,,-54.2,-18.4,0,0,ok
BOLETIM_RADIO_TJRN_03_03_2026_B2_CONVENIO_DEBITO_PRECATORIOS_CABECA.mp3,CABECA,OK,15.45,O,precatórios.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_03_03_2026_B3_CONDENACAO_FABRICANTE_PNEUS_CABECA.mp3,CABECA,OK,17.69,O,pneus.,,,-120.0,-52.2,0,0,ok
BOLETIM_RADIO_TJRN_03_03_2026_B7_CONDENACAO_RESPONSABILIDADE_SOLIDARIA_CABECA.mp3,CABECA,OK,12.22,O,morais.,,,-60.5,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_03_03_2026_B9_PAGAMENTO_PASSAGENS_INTERMUNICIPAL_CABECA.mp3,CABECA,OK,7.16,Justiça,excepcionais.,,,-84.3,-32.4,0,0,ok
BOLETIM_RADIO_TJRN_04_03_2026_B10_MPRN_FIRMA_ACORDO_INTERINSTITUCIONAL__CABECA.mp3,CABECA,OK,8.01,MPRN,adolescentes.,,,-53.0,-29.2,0,0,ok
BOLETIM_RADIO_TJRN_04_03_2026_B6_PENAS_PECUNIARIAS_CANGUARETAMA_CABECA.mp3,CABECA,OK,6.29,Penas,sociais.,,,-51.4,-34.7,0,0,ok
BOLETIM_RADIO_TJRN_04_03_2026_B7_TRTRN_SOCIO_RESPONSABILIZADO__CABECA.mp3,CABECA,OK,6.27,Sócio,empresa.,,,-50.8,-34.7,0,0,ok
BOLETIM_RADIO_TJRN_04_03_2026_B9_CNJ_NOTA_TECNICA_COMBATE_FALSO_ADVOGADO__CABECA.mp3,CABECA,OK,8.35,CNJ,advogado.,,,-50.8,-37.5,0,0,ok
