arquivo,tipo,classificacao,duracao_s,primeira_palavra,ultima_palavra,motivo,erro,energia_borda_ini_db,energia_borda_fim_db,ffmpeg_sil_inicio_ms,ffmpeg_sil_fim_ms,ffmpeg_status
BOLETIM_RADIO_TJRN_06_04_2026_B1_TJRN_FALHA_ELETRONICA_REGISTRO_DOCUMENTO__CABECA.mp3,CABECA,OK,14.65,O,responsável.,,,-56.5,-43.9,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B2_TJRN_PROJETO_GMF_REDE_SOCIOEDUCATIVA__CABECA.mp3,CABECA,OK,6.13,O,TJRN.,,,-48.2,-22.1,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B3_TJRN_COJUD_PROCESSO_SELETIVO__CABECA.mp3,CABECA,OK,7.54,A,economia.,,,-80.8,-51.1,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B4_TJRN_MUNICIPIO_GARANTIR_CONSULTAS__CABECA.mp3,CABECA,OK,7.32,A,imediata.,,,-74.7,-17.8,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B5_TJRN_MANTEM_RESPONSABILIZACAO_DANOS_ENCHENTE__CABECA.mp3,CABECA,OK,15.22,A,potendir.,,,-120.0,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B6_TJRN_NEGA_RECURSO_ACUSADO_TENTATIVA_FEMINICIDIO__CABECA.mp3,CABECA,OK,14.04,TJRN,Macaíba.,,,-61.7,-44.6,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B7_TJRN_ACORDOS_EXTRAJUDICIAIS_PROSSEGUIMENTOS__CABECA.mp3,CABECA,OK,16.0,A,demanda.,,,-41.0,-51.9,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B8_TJRN_DECISAO_REALIZACAO_PERICIA_GRAFOTECNICA__CABECA.mp3,CABECA,OK,6.36,Decisão,empréstimo.,,,-120.0,-24.0,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B10_TJRN_CONDENA_FALSO_ADVOGADO__CABECA.mp3,CABECA,OK,10.68,A,eletrônica.,,,-46.4,-48.4,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B9_TJRN_GARANTE_COBERTURA_PARTO_SEM_CARENCIA__CABECA.mp3,CABECA,OK,15.11,A,materiais.,,,-68.7,-58.3,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B1_TJRN_CLIENTES_RECEBERAM_AGENCIA_TURISMO__CABECA.mp3,CABECA,OK,12.98,Um,clientes.,,,-76.3,-48.7,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B2_TJRN_CONSOLIDA_MEDIACAO_CONFLITOS__CABECA.mp3,CABECA,OK,15.79,Em,eficazes.,,,-41.5,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B3_TJRN_OPERADORA_CONDENADA__CABECA.mp3,CABECA,OK,11.83,Um,autorização.,,,-52.8,-51.9,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B4_TJRN_NEGADO_ATO_IMPROBIDADE_SAO_MIGUEL__CABECA.mp3,CABECA,OK,12.21,O,Gostoso.,,,-45.2,-65.2,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B5_TJRN_CONDENADO_ROUBO_CARRO__CABECA.mp3,CABECA,OK,10.17,A,majorado.,,,-45.3,-66.2,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B6_TJRN_ACUSADO_SEQUESTRO__CABECA.mp3,CABECA,OK,9.92,A,Caicó.,,,-57.2,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B10_REPARADORA_BARIATRICA_CABECA.mp3,CABECA,OK,8.55,provimento,Panamirim.,,,-40.5,-23.7,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B7_FALHA_ELETRONICA_CONCURSO_CABECA.mp3,CABECA,OK,15.48,O,responsável.,,,-62.4,-52.6,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B8_MPRN_EX_SECRETARIO_MOSSORO_CONDENADO_CABECA.mp3,CABECA,OK,7.72,Após,cirerário.,,,-52.7,-31.1,0,0,ok
BOLETIM_RADIO_TJRN_07_04_2026_B9_INDENIZACAO_FALTA_AGUA_CABECA.mp3,CABECA,OK,10.89,O,morais.,,,-57.1,-46.4,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B1_TJRN_SANTA_CRUZ_PROJETOS_SOCIAIS__CABECA.mp3,CABECA,OK,15.19,O,penais.,,,-45.6,-74.7,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B2_TJRN_BANCO_CONDENADO_VAZAMENTOS_DADOS__CABECA.mp3,CABECA,OK,12.17,de,diária.,,,-71.2,-37.3,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B3_TJRN_ACAO_ALIMENTOS_IDOSO_ALZHEIMER__CABECA.mp3,CABECA,OK,7.73,A,Natal.,,,-120.0,-24.7,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B4_TJRN_PLANO_SAUDE_CONDENADO_CIRURGIA_OCULAR__CABECA.mp3,CABECA,CORTADO,2.11,Cobertura,Cobertura,CABEÇA muito curta (2.1s) — provável corte no início da manchete,,-40.2,-32.2,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B5_TJRN_SENTENCA_EXIGENCIA_PROCURACAO_DETRAN__CABECA.mp3,CABECA,OK,6.0,Mantida,-RN.,,,-120.0,-30.8,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B6_TJRN_VIGILANTE_AUXILIAR_CONDENADOS__CABECA.mp3,CABECA,OK,7.8,Vigilante,trabalhavam.,,,-52.2,-31.0,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B7_TJRN_PLATAFORMA_NAO_EFETIVA_RESERVA_HOTEL_CABECA.mp3,CABECA,OK,11.75,O,pontos.,,,-56.2,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B8_TJRN_FALHA_DEPOSITO_BANCARIO__CABECA.mp3,CABECA,OK,13.29,Um,eletrônico.,,,-40.9,-45.4,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B10_TJRN_SEMANA_NACIONAL_SAUDE_CABECA.mp3,CABECA,OK,6.16,O,Saúde.,,,-66.8,-48.0,0,0,ok
BOLETIM_RADIO_TJRN_08_04_2026_B9_TJRN_ANULA_CONTRATO_OTICA__CABECA.mp3,CABECA,OK,3.35,O,Cruz.,,,-73.4,-20.7,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B1_TJRN_COBRANCA_INDEVIDA_BAGAGEM__CABECA.mp3,CABECA,OK,8.94,Com,morais.,,,-53.2,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B2_TJRN_MANTEM_CONDENACAO_ACUSADOS_ROUBO_CABECA.mp3,CABECA,OK,6.78,A,Panamirim.,,,-120.0,-40.8,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B3_TJRN_TECNICO_PAGAMENTO_SERVICO__CABECA.mp3,CABECA,OK,12.37,O,eletrônica.,,,-50.8,-120.0,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B4_TJRN_SUPOSTO_DESVIO_FUNCAO_PM_CABECA.mp3,CABECA,OK,13.12,A,função.,,,-44.6,-24.1,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B5_TJRN_MANTIDA_CONDENACAO_EMPRESA_AEREA__CABECA.mp3,CABECA,OK,16.16,A,julgador.,,,-46.1,-42.9,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B6_TJRN_CAMARA_SESSAO_EXTRAORDINARIA_HIBRIDA__CABECA.mp3,CABECA,OK,5.68,Primeira,abril.,,,-24.7,-24.2,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B10_TRERN_AUTOATENDIMENTO_ELEITORAL_BIOMETRIA__CABECA.mp3,CABECA,OK,6.73,A,abril.,,,-120.0,-32.6,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B7_TJRN_SEMANA_NACIONAL_REGISTRO_CIVIL_CABECA.mp3,CABECA,OK,14.59,A,-se!,,,-57.1,-80.8,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B8_TRTRN_NOVA_SALA_ESPERA_AUDIENCIA__CABECA.mp3,CABECA,OK,5.64,Guarda,climatizada.,,,-120.0,-33.4,0,0,ok
BOLETIM_RADIO_TJRN_09_04_2026_B9_TRERN_CAMPANHA_ARRECADACOES_LIVROS_INFANTIS__CABECA.mp3,CABECA,OK,4.61,Biblioteca,infantis.,,,-120.0,-16.4,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B1_TJRN_FALHA_ELETRONICA_REGISTRO_DOCUMENTO__CABECA.mp3,CABECA,OK,14.65,O,responsável.,,,-56.5,-43.9,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B2_TJRN_PROJETO_GMF_REDE_SOCIOEDUCATIVA__CABECA.mp3,CABECA,OK,6.13,O,TJRN.,,,-48.2,-22.1,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B3_TJRN_COJUD_PROCESSO_SELETIVO__CABECA.mp3,CABECA,OK,7.54,A,economia.,,,-80.8,-51.1,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B4_TJRN_MUNICIPIO_GARANTIR_CONSULTAS__CABECA.mp3,CABECA,OK,7.32,A,imediata.,,,-74.7,-17.8,0,0,ok
BOLETIM_RADIO_TJRN_06_04_2026_B1_TJRN_FALHA_ELETRONICA_REGISTRO_DOCUMENTO__CORPO.mp3,CORPO,OK,47.95,mas,administração,"CORPO sem pontuação final (fraco, isolado — checar manualmente)",,-120.0,-90.3,0,0,ok
