mes_destino,njud,arquivo,data,boletim,retranca,entidade,bloqueado,src
ABRIL,JORNAL_2026-04-06,BOLETIM_RADIO_TJRN_06_04_2026_B1_TJRN_FALHA_ELETRONICA_REGISTRO_DOCUMENTO_.mp3,2026/04/06,1,TJRN_FALHA_ELETRONICA_REGISTRO_DOCUMENTO_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\04 - ABR - 26
ABRIL,JORNAL_2026-04-06,BOLETIM_RADIO_TJRN_06_04_2026_B2_TJRN_PROJETO_GMF_REDE_SOCIOEDUCATIVA_.mp3,2026/04/06,2,TJRN_PROJETO_GMF_REDE_SOCIOEDUCATIVA_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\04 - ABR - 26
ABRIL,JORNAL_2026-04-06,BOLETIM_RADIO_TJRN_06_04_2026_B3_TJRN_COJUD_PROCESSO_SELETIVO_.mp3,2026/04/06,3,TJRN_COJUD_PROCESSO_SELETIVO_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\04 - ABR - 26
ABRIL,JORNAL_2026-04-06,BOLETIM_RADIO_TJRN_06_04_2026_B4_TJRN_MUNICIPIO_GARANTIR_CONSULTAS_.mp3,2026/04/06,4,TJRN_MUNICIPIO_GARANTIR_CONSULTAS_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\04 - ABR - 26
ABRIL,JORNAL_2026-04-07,BOLETIM_RADIO_TJRN_07_04_2026_B8_MPRN_EX_SECRETARIO_MOSSORO_CONDENADO.mp3,2026/04/07,8,MPRN_EX_SECRETARIO_MOSSORO_CONDENADO,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\04 - ABR - 26
ABRIL,JORNAL_2026-04-07,BOLETIM_RADIO_TJRN_07_04_2026_B6_TJRN_ACUSADO_SEQUESTRO_.mp3,2026/04/07,6,TJRN_ACUSADO_SEQUESTRO_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\04 - ABR - 26
ABRIL,JORNAL_2026-04-07,BOLETIM_RADIO_TJRN_07_04_2026_B9_INDENIZACAO_FALTA_AGUA.mp3,2026/04/07,9,INDENIZACAO_FALTA_AGUA,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\04 - ABR - 26
ABRIL,JORNAL_2026-04-07,BOLETIM_RADIO_TJRN_07_04_2026_B4_TJRN_NEGADO_ATO_IMPROBIDADE_SAO_MIGUEL_.mp3,2026/04/07,4,TJRN_NEGADO_ATO_IMPROBIDADE_SAO_MIGUEL_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\04 - ABR - 26
ABRIL,JORNAL_2026-04-08,BOLETIM_RADIO_TJRN_08_04_2026_B1_TJRN_SANTA_CRUZ_PROJETOS_SOCIAIS_.mp3,2026/04/08,1,TJRN_SANTA_CRUZ_PROJETOS_SOCIAIS_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\04 - ABR - 26
ABRIL,JORNAL_2026-04-08,BOLETIM_RADIO_TJRN_08_04_2026_B2_TJRN_BANCO_CONDENADO_VAZAMENTOS_DADOS_.mp3,2026/04/08,2,TJRN_BANCO_CONDENADO_VAZAMENTOS_DADOS_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\04 - ABR - 26
ABRIL,JORNAL_2026-04-08,BOLETIM_RADIO_TJRN_08_04_2026_B3_TJRN_ACAO_ALIMENTOS_IDOSO_ALZHEIMER_.mp3,2026/04/08,3,TJRN_ACAO_ALIMENTOS_IDOSO_ALZHEIMER_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\04 - ABR - 26
ABRIL,JORNAL_2026-04-08,BOLETIM_RADIO_TJRN_08_04_2026_B4_TJRN_PLANO_SAUDE_CONDENADO_CIRURGIA_OCULAR_.mp3,2026/04/08,4,TJRN_PLANO_SAUDE_CONDENADO_CIRURGIA_OCULAR_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\04 - ABR - 26
ABRIL,JORNAL_2026-04-09,BOLETIM_RADIO_TJRN_09_04_2026_B6_TJRN_CAMARA_SESSAO_EXTRAORDINARIA_HIBRIDA_.mp3,2026/04/09,6,TJRN_CAMARA_SESSAO_EXTRAORDINARIA_HIBRIDA_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\04 - ABR - 26
ABRIL,JORNAL_2026-04-09,BOLETIM_RADIO_TJRN_09_04_2026_B7_TJRN_SEMANA_NACIONAL_REGISTRO_CIVIL.mp3,2026/04/09,7,TJRN_SEMANA_NACIONAL_REGISTRO_CIVIL,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\04 - ABR - 26
