mes_destino,njud,arquivo,data,boletim,retranca,entidade,bloqueado,src
AGOSTO,NJUD_PROG_20260803,BOLETIM_RADIO_TJRN_26_03_2026_B10_TRTRN_MOBILIZACAO_RODOVIARIA_.mp3,2026-08-03,B1,TRTRN_MOBILIZACAO_RODOVIARIA_,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\08 - AGO - 26\03 08 - SEG
AGOSTO,NJUD_PROG_20260803,BOLETIM_RADIO_TJRN_26_03_2026_B1_MUTIRAO_POP_RUA_JUD_NJUD_1929.mp3,2026-08-03,B2,MUTIRAO_POP_RUA_JUD_NJUD_1929,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\08 - AGO - 26\03 08 - SEG
AGOSTO,NJUD_PROG_20260803,BOLETIM_RADIO_TJRN_26_03_2026_B2_TJRN_PENAS_PECUNIARIAS_NISIA_FLORESTA_NJUD_1929.mp3,2026-08-03,B3,TJRN_PENAS_PECUNIARIAS_NISIA_FLORESTA_NJUD_1929,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\08 - AGO - 26\03 08 - SEG
AGOSTO,NJUD_PROG_20260803,BOLETIM_RADIO_TJRN_26_03_2026_B3_TJRN_LITERATURA_CARCERE_FLIP_2026.mp3,2026-08-03,B4,TJRN_LITERATURA_CARCERE_FLIP_2026,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\08 - AGO - 26\03 08 - SEG
AGOSTO,NJUD_PROG_20260804,BOLETIM_RADIO_TJRN_26_03_2026_B4_ESTAGIO_VARA_EXECUCAO_MOSSORO.mp3,2026-08-04,B1,ESTAGIO_VARA_EXECUCAO_MOSSORO,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\08 - AGO - 26\03 08 - SEG
AGOSTO,NJUD_PROG_20260804,BOLETIM_RADIO_TJRN_26_03_2026_B5_CONDENACAO_OFICINA_SERVICO_DEFEITUOSO_NJUD_1929.mp3,2026-08-04,B2,CONDENACAO_OFICINA_SERVICO_DEFEITUOSO_NJUD_1929,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\08 - AGO - 26\03 08 - SEG
AGOSTO,NJUD_PROG_20260804,BOLETIM_RADIO_TJRN_26_03_2026_B6_TJRN_MANTIDA_CONDENACAO_TRAFICO_REDES_SOCIAIS_NJUD_1929.mp3,2026-08-04,B3,TJRN_MANTIDA_CONDENACAO_TRAFICO_REDES_SOCIAIS_NJUD_1929,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\08 - AGO - 26\03 08 - SEG
AGOSTO,NJUD_PROG_20260804,BOLETIM_RADIO_TJRN_26_03_2026_B6_TJRN_RESPONSAVEL_INTERINO_LUIS_GOMES.mp3,2026-08-04,B4,TJRN_RESPONSAVEL_INTERINO_LUIS_GOMES,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\08 - AGO - 26\03 08 - SEG
AGOSTO,NJUD_PROG_20260805,BOLETIM_RADIO_TJRN_26_03_2026_B7_TJRN_VARA_FAZENDA_HOMOLOGA_RESULTADO.mp3,2026-08-05,B1,TJRN_VARA_FAZENDA_HOMOLOGA_RESULTADO,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\08 - AGO - 26\03 08 - SEG
AGOSTO,NJUD_PROG_20260805,BOLETIM_RADIO_TJRN_26_03_2026_B8_TJRN_1_CAMARA_SESSAO_EXTRAORDINARIA_.mp3,2026-08-05,B2,TJRN_1_CAMARA_SESSAO_EXTRAORDINARIA_,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\08 - AGO - 26\03 08 - SEG
