mes_destino,njud,arquivo,data,boletim,retranca,entidade,bloqueado,src
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_22_01_2026_B8_TSF_JULGAMENTOS_TEMAS_REPERCUSSAO_.mp3,22_01_2026,B8,TSF_JULGAMENTOS_TEMAS_REPERCUSSAO_,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_22_01_2026_B9_TCERN_EXIGENCIA_TRANSPARENCIA_PARLAMENTARES.mp3,22_01_2026,B9,TCERN_EXIGENCIA_TRANSPARENCIA_PARLAMENTARES,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_23_01_2026_B1_GESTAO_DOCUMENTAL_RECICLAGEM.mp3,23_01_2026,B1,GESTAO_DOCUMENTAL_RECICLAGEM,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_23_01_2026_B2_PAGAMENTO_IPTU_PENDENTES.mp3,23_01_2026,B2,PAGAMENTO_IPTU_PENDENTES,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_23_01_2026_B3_INDENIZACAO_CANCER_PROSTATA.mp3,23_01_2026,B3,INDENIZACAO_CANCER_PROSTATA,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_26_01_2026_B10_TTRRN_SOLENIDADE_PLENO_ABERTURA_.mp3,26_01_2026,B10,TTRRN_SOLENIDADE_PLENO_ABERTURA_,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_26_01_2026_B1_CURSO_CAPACITACAO_NUPEC_ESMARN.mp3,26_01_2026,B1,CURSO_CAPACITACAO_NUPEC_ESMARN,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_26_01_2026_B2_ESTAGIO_DIREITO_6_JUIZADO.mp3,26_01_2026,B2,ESTAGIO_DIREITO_6_JUIZADO,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_26_01_2026_B3_RESSONANCIA_PACIENTE_IDOSA.mp3,26_01_2026,B3,RESSONANCIA_PACIENTE_IDOSA,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_26_01_2026_B4_LIXAO_CEU_ABERTO.mp3,26_01_2026,B4,LIXAO_CEU_ABERTO,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_26_01_2026_B5_CONTRATACAO_SOFTWARE_ANGICOS.mp3,26_01_2026,B5,CONTRATACAO_SOFTWARE_ANGICOS,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_26_01_2026_B6_SELECAO_TABELIAES_ALEXANDRIA.mp3,26_01_2026,B6,SELECAO_TABELIAES_ALEXANDRIA,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_26_01_2026_B7_ESTAGIO_2_VARA_MOSSORO.mp3,26_01_2026,B7,ESTAGIO_2_VARA_MOSSORO,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_26_01_2026_B8_TJRN_DOIS_JUIZES_EMPOSSADOS.mp3,26_01_2026,B8,TJRN_DOIS_JUIZES_EMPOSSADOS,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_26_01_2026_B9_OABRN_VISITA_DELEGACIA_PLANTAO_.mp3,26_01_2026,B9,OABRN_VISITA_DELEGACIA_PLANTAO_,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_27_01_2026_B10_PENAS_PECUNIARIAS_PARNAMIRIM.mp3,27_01_2026,B10,PENAS_PECUNIARIAS_PARNAMIRIM,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_27_01_2026_B1_TCERN_AUDITORIA_PREVIDENCIA_ITAU_.mp3,27_01_2026,B1,TCERN_AUDITORIA_PREVIDENCIA_ITAU_,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_27_01_2026_B2_MPRN_PROMOVE_AUDIENCIA_ENSINO_PUBLICO_.mp3,27_01_2026,B2,MPRN_PROMOVE_AUDIENCIA_ENSINO_PUBLICO_,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_27_01_2026_B4_TRTRN_EMPRESA_ISENTA_MORTE_VIGILANTE.mp3,27_01_2026,B4,TRTRN_EMPRESA_ISENTA_MORTE_VIGILANTE,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_27_01_2026_B6_INDENIZACAO_EMPRESTIMO_FRAUDULENTO.mp3,27_01_2026,B6,INDENIZACAO_EMPRESTIMO_FRAUDULENTO,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_27_01_2026_B7_CLINICA_CONDENACAO_MORTE_FILHOTES.mp3,27_01_2026,B7,CLINICA_CONDENACAO_MORTE_FILHOTES,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_27_01_2026_B8_IMPROBIDADE_EX_PRESIDENTE_CAMARA_SAO_GONCALO.mp3,27_01_2026,B8,IMPROBIDADE_EX_PRESIDENTE_CAMARA_SAO_GONCALO,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_27_01_2026_B9_RESSARCIMENTO_NEGADO_ASSESSOR_POLITICO.mp3,27_01_2026,B9,RESSARCIMENTO_NEGADO_ASSESSOR_POLITICO,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_28_01_2026_B10_TJRN_ESTABELECE_ORIENTACOES_CARNAVAL.mp3,28_01_2026,B10,TJRN_ESTABELECE_ORIENTACOES_CARNAVAL,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_28_01_2026_B1_3_VARA_PARNAMIRIM_ESTAGIO_.mp3,28_01_2026,B1,3_VARA_PARNAMIRIM_ESTAGIO_,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_28_01_2026_B2_DPERN_EDITAL_LOCACAO_FLORANIA_.mp3,28_01_2026,B2,DPERN_EDITAL_LOCACAO_FLORANIA_,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_28_01_2026_B3_MPRN_PROCESSO_SIMPLIFICADO_.mp3,28_01_2026,B3,MPRN_PROCESSO_SIMPLIFICADO_,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
JANEIRO,NJUD 26,BOLETIM_RADIO_TJRN_28_01_2026_B4_CNJ_JUDICIARIO_MENOR_ESTOQUE.mp3,28_01_2026,B4,CNJ_JUDICIARIO_MENOR_ESTOQUE,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26
