mes_destino,njud,arquivo,data,boletim,retranca,entidade,bloqueado,src
JUNHO,JORNAL_2026-06-01,BOLETIM_RADIO_TJRN_01_06_2026_B10_TJRN_CAMPANHA_MES_PROTEGIDA.mp3,2026-06-01,10,TJRN_CAMPANHA_MES_PROTEGIDA,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\06 - JUN - 26\01 06 - SEG
JUNHO,JORNAL_2026-06-01,BOLETIM_RADIO_TJRN_01_06_2026_B1_TJRN_CONSUMIDORA_INDENIZADA_PARTO_.mp3,2026-06-01,1,TJRN_CONSUMIDORA_INDENIZADA_PARTO_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\06 - JUN - 26\01 06 - SEG
JUNHO,JORNAL_2026-06-01,BOLETIM_RADIO_TJRN_01_06_2026_B2_TJRN_PERMISSAO_USO_IMOVEL.mp3,2026-06-01,2,TJRN_PERMISSAO_USO_IMOVEL,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\06 - JUN - 26\01 06 - SEG
JUNHO,JORNAL_2026-06-01,BOLETIM_RADIO_TJRN_01_06_2026_B3_TJRN_PLANO_SAUDE_FORNECER_CIRURGIA.mp3,2026-06-01,3,TJRN_PLANO_SAUDE_FORNECER_CIRURGIA,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\06 - JUN - 26\01 06 - SEG
JUNHO,JORNAL_2026-06-02,BOLETIM_RADIO_TJRN_02_06_2026_B10_TJRN_JUIZADO_NATAL_ESTAGIO_.mp3,2026-06-02,10,TJRN_JUIZADO_NATAL_ESTAGIO_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\06 - JUN - 26\02 06 - TER
JUNHO,JORNAL_2026-06-02,BOLETIM_RADIO_TJRN_02_06_2026_B1_TJRN_ARTIGO_REPOJURN.mp3,2026-06-02,1,TJRN_ARTIGO_REPOJURN,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\06 - JUN - 26\02 06 - TER
JUNHO,JORNAL_2026-06-02,BOLETIM_RADIO_TJRN_02_06_2026_B2_TJRN_SUSPENDE_EDITAIS_.mp3,2026-06-02,2,TJRN_SUSPENDE_EDITAIS_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\06 - JUN - 26\02 06 - TER
JUNHO,JORNAL_2026-06-02,BOLETIM_RADIO_TJRN_02_06_2026_B3_TJRN_SAAE_EXTREMOZ_INDENIZAR.mp3,2026-06-02,3,TJRN_SAAE_EXTREMOZ_INDENIZAR,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\06 - JUN - 26\02 06 - TER
JUNHO,JORNAL_2026-06-03,BOLETIM_RADIO_TJRN_03_06_2026_B10_TRTRN_PUBLICACAO_INCIDENTES_DADOS_PESSOAIS_.mp3,2026-06-03,10,TRTRN_PUBLICACAO_INCIDENTES_DADOS_PESSOAIS_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\06 - JUN - 26\03 06 - QUA
JUNHO,JORNAL_2026-06-03,BOLETIM_RADIO_TJRN_03_06_2026_B1_TJRN_HOMEM_CONDENADO_COLISAO_CARRO.mp3,2026-06-03,1,TJRN_HOMEM_CONDENADO_COLISAO_CARRO,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\06 - JUN - 26\03 06 - QUA
