mes_destino,njud,arquivo,data,boletim,retranca,entidade,bloqueado,src
MAIO,JORNAL_2026-05-04,BOLETIM_RADIO_TJRN_04_05_2026_B6_MAIO_TECNOLOGICO.mp3,2026/05/04,6,MAIO_TECNOLOGICO,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-04,BOLETIM_RADIO_TJRN_04_05_2026_B7_IPTU_NATAL_TAXA_SELIC.mp3,2026/05/04,7,IPTU_NATAL_TAXA_SELIC,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-04,BOLETIM_RADIO_TJRN_04_05_2026_B1_TJRN_VISITA_ALUNOS_UFRN_.mp3,2026/05/04,1,TJRN_VISITA_ALUNOS_UFRN_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-04,BOLETIM_RADIO_TJRN_04_05_2026_B5_RESTITUICAO_FALHA_PRODUTO.mp3,2026/05/04,5,RESTITUICAO_FALHA_PRODUTO,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-05,BOLETIM_RADIO_TJRN_05_05_2026_B2_POLICIAL_MILITAR_CONDENADO_TRIBUNAL_JURI.mp3,2026/05/05,2,POLICIAL_MILITAR_CONDENADO_TRIBUNAL_JURI,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-05,BOLETIM_RADIO_TJRN_05_05_2026_B3_INDENIZACAO_ALAGAMENTO_CHUVAS.mp3,2026/05/05,3,INDENIZACAO_ALAGAMENTO_CHUVAS,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-05,BOLETIM_RADIO_TJRN_05_05_2026_B4_CONDENACAO_ENTREGA_ERRADA.mp3,2026/05/05,4,CONDENACAO_ENTREGA_ERRADA,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-05,BOLETIM_RADIO_TJRN_05_05_2026_B6_DADOS_PORTAL_TRANSPARENCIA.mp3,2026/05/05,6,DADOS_PORTAL_TRANSPARENCIA,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-06,BOLETIM_RADIO_TJRN_06_05_2026_B5_TEMPO_MINIMO_CARTEIRA_ESTUDANTES.mp3,2026/05/06,5,TEMPO_MINIMO_CARTEIRA_ESTUDANTES,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-06,BOLETIM_RADIO_TJRN_06_05_2026_B8_PROCURADORIA_MULHER_PARNAMIRIM.mp3,2026/05/06,8,PROCURADORIA_MULHER_PARNAMIRIM,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-06,BOLETIM_RADIO_TJRN_06_05_2026_B1_RESTRICAO_MATERIAL_CIRURGICO.mp3,2026/05/06,1,RESTRICAO_MATERIAL_CIRURGICO,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-06,BOLETIM_RADIO_TJRN_06_05_2026_B9_MPRN_RECOMENDA_RECONSTRUCAO_RUAS.mp3,2026/05/06,9,MPRN_RECOMENDA_RECONSTRUCAO_RUAS,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-07,BOLETIM_RADIO_TJRN_07_05_2026_B7_EBOOK_SOCIOEDUCACAO.mp3,2026/05/07,7,EBOOK_SOCIOEDUCACAO,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-07,BOLETIM_RADIO_TJRN_07_05_2026_B2_JURI_ACUSADO_DISPARO_BRIGAS.mp3,2026/05/07,2,JURI_ACUSADO_DISPARO_BRIGAS,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-07,BOLETIM_RADIO_TJRN_07_05_2026_B9_MPRN_RECOMENDACAO_CORRECAO_PRISIONAL_FEMININO_.mp3,2026/05/07,9,MPRN_RECOMENDACAO_CORRECAO_PRISIONAL_FEMININO_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-07,BOLETIM_RADIO_TJRN_07_05_2026_B1_INDENIZACAO_PROFESSORA_REMUNERACAO.mp3,2026/05/07,1,INDENIZACAO_PROFESSORA_REMUNERACAO,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-08,BOLETIM_RADIO_TJRN_08_05_2026_B1_INDENIZACAO_TAXAS_INDEVIDAS.mp3,2026/05/08,1,INDENIZACAO_TAXAS_INDEVIDAS,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-08,BOLETIM_RADIO_TJRN_08_05_2026_B5_FISCALIZACAO_CONDOMINIO.mp3,2026/05/08,5,FISCALIZACAO_CONDOMINIO,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-08,BOLETIM_RADIO_TJRN_08_05_2026_B2_USO_INDEVIDO_JAZIGO.mp3,2026/05/08,2,USO_INDEVIDO_JAZIGO,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-08,BOLETIM_RADIO_TJRN_08_05_2026_B10_TRTRN_REGISTRO_POSTO_SAUDE.mp3,2026/05/08,10,TRTRN_REGISTRO_POSTO_SAUDE,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-11,BOLETIM_RADIO_TJRN_11_05_2026_B2_TJRN_FORTALECE_PRESERVACAO_JUSTICA_.mp3,2026/05/11,2,TJRN_FORTALECE_PRESERVACAO_JUSTICA_,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-11,BOLETIM_RADIO_TJRN_11_05_2026_B3_TJRN_CEARA_MIRIM_ESTAGIO.mp3,2026/05/11,3,TJRN_CEARA_MIRIM_ESTAGIO,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
MAIO,JORNAL_2026-05-11,BOLETIM_RADIO_TJRN_11_05_2026_B7_TJRN_CANGUARETAMA_ESTAGIO_POS.mp3,2026/05/11,7,TJRN_CANGUARETAMA_ESTAGIO_POS,TJRN,,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\05 - MAI - 26
