mes_destino,njud,arquivo,data,boletim,retranca,entidade,bloqueado,src
JANEIRO,NJUD N/A,BOLETIM_RADIO_TJRN_07_01_2026_B10_CAERN_DEVE_PAGAR_DANOS_MORAIS.mp3,07_01_2026,CAERN_DEVE_PAGAR_DANOS_MORAIS,,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\07 01 - QUA
JANEIRO,NJUD N/A,BOLETIM_RADIO_TJRN_07_01_2026_B10_CAERN_DEVE_PAGAR_DANOS_MORAIS_v2.mp3,07_01_2026,CAERN_DEVE_PAGAR_DANOS_MORAIS_v2,,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\07 01 - QUA
JANEIRO,NJUD N/A,BOLETIM_RADIO_TJRN_07_01_2026_B1_SELECAO_CARTORIOS_PAU_DOS_FERROS.mp3,07_01_2026,SELECAO_CARTORIOS_PAU_DOS_FERROS,,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\07 01 - QUA
JANEIRO,NJUD N/A,BOLETIM_RADIO_TJRN_07_01_2026_B1_SELECAO_CARTORIOS_PAU_DOS_FERROS_v2.mp3,07_01_2026,SELECAO_CARTORIOS_PAU_DOS_FERROS_v2,,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\07 01 - QUA
JANEIRO,NJUD N/A,BOLETIM_RADIO_TJRN_07_01_2026_B2_INDENIZACAO_FALHA_AIRBAGS.mp3,07_01_2026,INDENIZACAO_FALHA_AIRBAGS,,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\07 01 - QUA
JANEIRO,NJUD N/A,BOLETIM_RADIO_TJRN_07_01_2026_B2_INDENIZACAO_FALHA_AIRBAGS_v2.mp3,07_01_2026,INDENIZACAO_FALHA_AIRBAGS_v2,,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\07 01 - QUA
JANEIRO,NJUD N/A,BOLETIM_RADIO_TJRN_07_01_2026_B3_JURI_POPULAR_GRUPO_DE_EXTERMINIO.mp3,07_01_2026,JURI_POPULAR_GRUPO_DE_EXTERMINIO,,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\07 01 - QUA
JANEIRO,NJUD N/A,BOLETIM_RADIO_TJRN_07_01_2026_B3_JURI_POPULAR_GRUPO_DE_EXTERMINIO_v2.mp3,07_01_2026,JURI_POPULAR_GRUPO_DE_EXTERMINIO_v2,,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\07 01 - QUA
JANEIRO,NJUD N/A,BOLETIM_RADIO_TJRN_07_01_2026_B4_FALHA_DE_ENTREGA_LOJA_ONLINE.mp3,07_01_2026,FALHA_DE_ENTREGA_LOJA_ONLINE,,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\07 01 - QUA
JANEIRO,NJUD N/A,BOLETIM_RADIO_TJRN_07_01_2026_B4_FALHA_DE_ENTREGA_LOJA_ONLINE_v2.mp3,07_01_2026,FALHA_DE_ENTREGA_LOJA_ONLINE_v2,,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\07 01 - QUA
JANEIRO,NJUD N/A,BOLETIM_RADIO_TJRN_07_01_2026_B5_VENDA_CASADA_OTICA.mp3,07_01_2026,VENDA_CASADA_OTICA,,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\07 01 - QUA
