mes_destino,njud,arquivo,data,boletim,retranca,entidade,bloqueado,src
08,NJUD_PROG_20260803,BOLETIM_RADIO_TJRN_22_01_2026_B8_TSF_JULGAMENTOS_TEMAS_REPERCUSSAO_.mp3,2026-08-03,B1,TSF_JULGAMENTOS_TEMAS_REPERCUSSAO_,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\BOLETIM_RADIO_TJRN_22_01_2026_B8_TSF_JULGAMENTOS_TEMAS_REPERCUSSAO_.mp3
08,NJUD_PROG_20260803,BOLETIM_RADIO_TJRN_22_01_2026_B9_TCERN_EXIGENCIA_TRANSPARENCIA_PARLAMENTARES.mp3,2026-08-03,B2,TCERN_EXIGENCIA_TRANSPARENCIA_PARLAMENTARES,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\BOLETIM_RADIO_TJRN_22_01_2026_B9_TCERN_EXIGENCIA_TRANSPARENCIA_PARLAMENTARES.mp3
08,NJUD_PROG_20260803,BOLETIM_RADIO_TJRN_23_01_2026_B1_GESTAO_DOCUMENTAL_RECICLAGEM.mp3,2026-08-03,B3,GESTAO_DOCUMENTAL_RECICLAGEM,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\BOLETIM_RADIO_TJRN_23_01_2026_B1_GESTAO_DOCUMENTAL_RECICLAGEM.mp3
08,NJUD_PROG_20260803,BOLETIM_RADIO_TJRN_23_01_2026_B2_PAGAMENTO_IPTU_PENDENTES.mp3,2026-08-03,B4,PAGAMENTO_IPTU_PENDENTES,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\BOLETIM_RADIO_TJRN_23_01_2026_B2_PAGAMENTO_IPTU_PENDENTES.mp3
08,NJUD_PROG_20260804,BOLETIM_RADIO_TJRN_23_01_2026_B3_INDENIZACAO_CANCER_PROSTATA.mp3,2026-08-04,B1,INDENIZACAO_CANCER_PROSTATA,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\BOLETIM_RADIO_TJRN_23_01_2026_B3_INDENIZACAO_CANCER_PROSTATA.mp3
08,NJUD_PROG_20260804,BOLETIM_RADIO_TJRN_26_01_2026_B10_TTRRN_SOLENIDADE_PLENO_ABERTURA_.mp3,2026-08-04,B2,TTRRN_SOLENIDADE_PLENO_ABERTURA_,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\BOLETIM_RADIO_TJRN_26_01_2026_B10_TTRRN_SOLENIDADE_PLENO_ABERTURA_.mp3
08,NJUD_PROG_20260804,BOLETIM_RADIO_TJRN_26_01_2026_B1_CURSO_CAPACITACAO_NUPEC_ESMARN.mp3,2026-08-04,B3,CURSO_CAPACITACAO_NUPEC_ESMARN,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\BOLETIM_RADIO_TJRN_26_01_2026_B1_CURSO_CAPACITACAO_NUPEC_ESMARN.mp3
08,NJUD_PROG_20260804,BOLETIM_RADIO_TJRN_26_01_2026_B2_ESTAGIO_DIREITO_6_JUIZADO.mp3,2026-08-04,B4,ESTAGIO_DIREITO_6_JUIZADO,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\BOLETIM_RADIO_TJRN_26_01_2026_B2_ESTAGIO_DIREITO_6_JUIZADO.mp3
08,NJUD_PROG_20260805,BOLETIM_RADIO_TJRN_26_01_2026_B3_RESSONANCIA_PACIENTE_IDOSA.mp3,2026-08-05,B1,RESSONANCIA_PACIENTE_IDOSA,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\BOLETIM_RADIO_TJRN_26_01_2026_B3_RESSONANCIA_PACIENTE_IDOSA.mp3
08,NJUD_PROG_20260805,BOLETIM_RADIO_TJRN_26_01_2026_B4_LIXAO_CEU_ABERTO.mp3,2026-08-05,B2,LIXAO_CEU_ABERTO,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\BOLETIM_RADIO_TJRN_26_01_2026_B4_LIXAO_CEU_ABERTO.mp3
08,NJUD_PROG_20260805,BOLETIM_RADIO_TJRN_26_01_2026_B5_CONTRATACAO_SOFTWARE_ANGICOS.mp3,2026-08-05,B3,CONTRATACAO_SOFTWARE_ANGICOS,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\BOLETIM_RADIO_TJRN_26_01_2026_B5_CONTRATACAO_SOFTWARE_ANGICOS.mp3
08,NJUD_PROG_20260805,BOLETIM_RADIO_TJRN_26_01_2026_B6_SELECAO_TABELIAES_ALEXANDRIA.mp3,2026-08-05,B4,SELECAO_TABELIAES_ALEXANDRIA,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\BOLETIM_RADIO_TJRN_26_01_2026_B6_SELECAO_TABELIAES_ALEXANDRIA.mp3
08,NJUD_PROG_20260806,BOLETIM_RADIO_TJRN_26_01_2026_B7_ESTAGIO_2_VARA_MOSSORO.mp3,2026-08-06,B1,ESTAGIO_2_VARA_MOSSORO,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\BOLETIM_RADIO_TJRN_26_01_2026_B7_ESTAGIO_2_VARA_MOSSORO.mp3
08,NJUD_PROG_20260806,BOLETIM_RADIO_TJRN_26_01_2026_B8_TJRN_DOIS_JUIZES_EMPOSSADOS.mp3,2026-08-06,B2,TJRN_DOIS_JUIZES_EMPOSSADOS,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\BOLETIM_RADIO_TJRN_26_01_2026_B8_TJRN_DOIS_JUIZES_EMPOSSADOS.mp3
08,NJUD_PROG_20260806,BOLETIM_RADIO_TJRN_26_01_2026_B9_OABRN_VISITA_DELEGACIA_PLANTAO_.mp3,2026-08-06,B3,OABRN_VISITA_DELEGACIA_PLANTAO_,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\BOLETIM_RADIO_TJRN_26_01_2026_B9_OABRN_VISITA_DELEGACIA_PLANTAO_.mp3
08,NJUD_PROG_20260806,BOLETIM_RADIO_TJRN_27_01_2026_B10_PENAS_PECUNIARIAS_PARNAMIRIM.mp3,2026-08-06,B4,PENAS_PECUNIARIAS_PARNAMIRIM,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\BOLETIM_RADIO_TJRN_27_01_2026_B10_PENAS_PECUNIARIAS_PARNAMIRIM.mp3
08,NJUD_PROG_20260807,BOLETIM_RADIO_TJRN_27_01_2026_B1_TCERN_AUDITORIA_PREVIDENCIA_ITAU_.mp3,2026-08-07,B1,TCERN_AUDITORIA_PREVIDENCIA_ITAU_,TJRN,NAO,H:\Meu Drive\RADIO TJRN CONTEÚDO\00_PRODUCAO_2026\01_BOLETINS_DIARIOS\03_AUDIOS_RADIO\01 - JAN - 26\BOLETIM_RADIO_TJRN_27_01_2026_B1_TCERN_AUDITORIA_PREVIDENCIA_ITAU_.mp3
