arquivo,pasta,data,status,observacao
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1900\BOLETIM_RADIO_TJRN_26_07_2026_B1_TJRN_SUSPENSAO_AGENTES_SAO_GONCALO_CABECA.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1900,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1900\BOLETIM_RADIO_TJRN_26_07_2026_B1_TJRN_SUSPENSAO_AGENTES_SAO_GONCALO_CORPO.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1900,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1900\BOLETIM_RADIO_TJRN_26_07_2026_B2_TJRN_APLICATIVO_JUSTIC_NJUD_CABECA.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1900,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1900\BOLETIM_RADIO_TJRN_26_07_2026_B2_TJRN_APLICATIVO_JUSTIC_NJUD_CORPO.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1900,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1900\BOLETIM_RADIO_TJRN_26_07_2026_B3_TJRN_COMARCA_ALMINO_AFONSO_TABELIAO__CABECA.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1900,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1900\BOLETIM_RADIO_TJRN_26_07_2026_B3_TJRN_COMARCA_ALMINO_AFONSO_TABELIAO__CORPO.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1900,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1900\BOLETIM_RADIO_TJRN_26_07_2026_B4_TJRN_ESTADO_INCORPORAR_GRATIFICACAO_NJUD_CABECA.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1900,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1900\BOLETIM_RADIO_TJRN_26_07_2026_B4_TJRN_ESTADO_INCORPORAR_GRATIFICACAO_NJUD_CORPO.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1900,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1901\BOLETIM_RADIO_TJRN_26_07_2026_B5_TJRN_HOMEM_CONDENADO_VIOLENCIA_DOMESTICA_NJUD_CABECA.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1901,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1901\BOLETIM_RADIO_TJRN_26_07_2026_B5_TJRN_HOMEM_CONDENADO_VIOLENCIA_DOMESTICA_NJUD_CORPO.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1901,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1901\BOLETIM_RADIO_TJRN_26_07_2026_B6_TJRN_PACIENTE_INDENIZADA_BIOPSIA_NJUD_CABECA.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1901,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1901\BOLETIM_RADIO_TJRN_26_07_2026_B6_TJRN_PACIENTE_INDENIZADA_BIOPSIA_NJUD_CORPO.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1901,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1901\BOLETIM_RADIO_TJRN_26_07_2026_B7_TJRN_INSCRICOES_ACOLHIMENTO_SERVIDORES_CABECA.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1901,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1901\BOLETIM_RADIO_TJRN_26_07_2026_B7_TJRN_INSCRICOES_ACOLHIMENTO_SERVIDORES_CORPO.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1901,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1901\BOLETIM_RADIO_TJRN_26_07_2026_B8_TJRN_FALTA_DOCUMENTACAO_CARRO_VENDIDO__CABECA.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1901,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1901\BOLETIM_RADIO_TJRN_26_07_2026_B8_TJRN_FALTA_DOCUMENTACAO_CARRO_VENDIDO__CORPO.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1901,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1902\BOLETIM_RADIO_TJRN_26_07_2026_B10_TRTRN_CEJUS_NATAL_ACORDO_EMPRESA_CONCECAO__CABECA.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1902,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1902\BOLETIM_RADIO_TJRN_26_07_2026_B10_TRTRN_CEJUS_NATAL_ACORDO_EMPRESA_CONCECAO__CORPO.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1902,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1902\BOLETIM_RADIO_TJRN_26_07_2026_B9_ESMARN_CURSO_PREVENCAO__CABECA.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1902,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1902\BOLETIM_RADIO_TJRN_26_07_2026_B9_ESMARN_CURSO_PREVENCAO__CORPO.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1902,26/07/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
F:\Projetos\DIVISOR\data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1913\BOLETIM_RADIO_TJRN_26_04_2026_B1_TJRN_CAICO_INTERINO_OFICIO_UNICO__CABECA.mp3,data\processed\JORNAIS_DIVIDIDOS\JORNAIS_DIVIDIDOS\NJUD 1913,26/04/2026,sem_num_csv,Data existe no CSV mas sem Programa_Projetado
