mes,data,status,fonte,boletins_esperados,boletins_ok,caminho_local,detalhe
03 - MAR - 26,26-03-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
03 - MAR - 26,27-03-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
03 - MAR - 26,30-03-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
03 - MAR - 26,31-03-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
04 - ABR - 26,01-04-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
04 - ABR - 26,02-04-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
04 - ABR - 26,03-04-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
04 - ABR - 26,06-04-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
04 - ABR - 26,07-04-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
04 - ABR - 26,08-04-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
04 - ABR - 26,09-04-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
04 - ABR - 26,10-04-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
04 - ABR - 26,13-04-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
04 - ABR - 26,14-04-2026,NAO_DISPONIVEL_SITE,radioetv,4,0,,radioetv retornou apenas até 05/09/2025 no dry-run
